scenario,cycle,mean_ba_mean,mean_ba_lo,mean_ba_hi,mean_vol_mean,mean_vol_lo,mean_vol_hi,mean_carbon_mean,mean_carbon_lo,mean_carbon_hi,total_tpa_mean,total_tpa_lo,total_tpa_hi,harvest_rate_mean,harvest_rate_lo,harvest_rate_hi,plant_rate_mean,plant_rate_lo,plant_rate_hi,gr_ratio_mean,gr_ratio_lo,gr_ratio_hi,n_sims
BAU,11,60.41825819407256,57.615786380203616,64.56193434130624,2412.869955441549,2176.301945343037,2758.411179796111,44144.39362926908,40890.96107920914,49054.07004520317,1755.1627871908734,988.8400995433603,2840.940492055899,0.06676382688180603,0.05963409990352911,0.0746239340047041,0.033887520806683905,0.028314009608845402,0.03969729311065749,7.463616702384497,6.170776269571881,8.77953391775662,100
BAU,12,56.64709775341135,54.012869520320464,59.539740238813195,2290.2077489251965,2045.5747656337533,2575.6543809840978,41585.1239492138,38121.575608686086,45378.899547547975,2597.655586564719,1300.250174476484,4699.935804707213,0.0642640237755672,0.053791639748941536,0.07372129681934021,0.03323035829253294,0.025639151037311354,0.039335220666977776,7.861110328318422,6.434972864052369,9.516520508906893,100
BAU,13,53.2299123862565,50.34590963375446,56.272522128080915,2161.6863821875,1913.2196096054581,2496.317690837425,39029.15592702671,35176.200949719365,42925.844706510354,3928.955602993148,1832.927088160311,7752.612364010738,0.06287358328352655,0.05429037194245158,0.07106228864363162,0.03313921178814857,0.027605306560868955,0.03796763292808444,7.723160988571592,6.1602522739742405,9.681440153440137,100
BAU,14,50.544982422518125,47.69537800028371,53.610157322420505,2057.0144076744587,1812.9541464813974,2423.049082752761,36971.14062625542,33348.209513012014,40886.160546885425,6160.580084986119,2250.4036486435753,12085.620228385267,0.06140878259088031,0.05452581921774943,0.06983258928571429,0.03250821010855582,0.026533019732275512,0.03816156743032516,7.961632537931313,6.432589233381471,9.51341487435188,100
BAU,15,48.31152852157496,45.341133312932584,51.640003949209444,1966.9970318619116,1675.9389300809444,2394.823622447965,35248.51489306662,31528.010300258495,40130.3981830359,10125.539584058422,3538.6713505283196,21472.900911893,0.060470919606084986,0.05120261520887237,0.06888225878147144,0.032435907221906514,0.02610522776107787,0.038188953088316546,8.035173333787748,6.377311911622497,10.164792136401557,100
Harvest_m25_mill,1,110.92497484448987,109.337731397309,112.47703186372848,3156.234648838664,3097.8969606916526,3225.9011726408016,63040.38778719974,61970.33431654207,64249.40684123179,342.8292760640876,335.83197672998574,352.4690657115249,0.07331963746280276,0.06790635762678408,0.07751897779528086,0.03711817365433978,0.03336952766991498,0.04048313332625393,5.743690585670913,5.233441702647669,6.383685337974919,100
Harvest_m25_mill,2,111.65426078177221,109.71511398440039,113.43151327780814,3260.3243720089386,3183.374182323819,3346.2404612183946,65057.940802551246,63621.661903538974,66514.24150380811,359.0826440910716,348.44587516728427,371.3199197771638,0.0709143652295081,0.06653107309637563,0.07682043884066075,0.03447179297659544,0.030754590866622883,0.03792613773789549,8.3170730457819,7.395670427106849,9.529024751203629,100
Harvest_m25_mill,3,109.18113845907955,106.81941417865264,111.4468936945196,3305.2414418373255,3216.5312904865095,3403.6213061146937,65642.50818940953,63976.44064872977,67439.31830818394,380.0933206763066,363.6025961557505,399.8571591870665,0.0697321435250429,0.06487746087268487,0.07457214598203613,0.03346148859653205,0.029911202405735464,0.038065074046138,8.573106730476086,7.667175372295706,9.554710669060702,100
Harvest_m25_mill,4,104.99279133161416,102.05124646097704,107.4047053212355,3324.3246296591387,3194.7211378322872,3439.3551277116467,65430.91187201812,63210.67168790422,67421.72310553007,408.53472183239904,386.27520643463896,437.1379821797286,0.06777540272478119,0.06123328754666539,0.07275832722144031,0.03191829724587167,0.028041636168143085,0.03565149687428432,8.759139426093666,7.665883182700934,9.738629118960247,100
Harvest_m25_mill,5,98.88866090076105,95.68479231314934,101.29335791941935,3281.692587882311,3137.0888845910486,3406.508759947768,63870.627170569394,61152.88336294924,65732.25169269557,451.8406185631309,417.4217062469918,496.6506249014946,0.06645338529039926,0.060625201833758635,0.07203637039919722,0.031009061565402764,0.02672236423402468,0.035120938380807404,8.837453083530141,7.786443237923452,10.345008902607685,100
Harvest_m25_mill,6,91.95237830266693,88.83931964507894,94.86424088950477,3192.642688203682,3019.1730181529,3336.238540770947,61379.949597487066,58424.429981878,63609.13708235996,520.4260258286055,464.07326146918723,596.0886859824816,0.06418287344472398,0.05902181203437634,0.0706264981846394,0.029900046925584126,0.02645391263045464,0.03474493907350759,9.023806842552375,7.822407179209552,10.733927619677377,100
Harvest_m25_mill,7,84.70972804530818,81.3683890967182,89.36504662339931,3074.107285596676,2882.8233606149215,3272.3106900583607,58297.78360921236,55143.838274134294,61847.87867792799,625.4944895686028,543.1073513319088,754.9488508867692,0.06219457360602382,0.056021204339589986,0.06779218551354263,0.029147791684963606,0.024763470715265606,0.03264354705839678,9.375562966248602,8.047122224815611,11.007375760118169,100
Harvest_m25_mill,8,78.16288928763852,74.47509710773531,84.18979480236236,2953.00763055822,2702.8402300802877,3227.276708500397,55260.428137999006,51170.33119443712,60175.9731509292,774.9855618505541,635.1653206483113,986.4358836787076,0.05961144744521729,0.053600439314325093,0.06593435854917533,0.028153816531094743,0.024175943491607156,0.032112803682756375,9.579332907676031,8.10997375882766,11.636833727245625,100
