scenario,cycle,mean_ba_mean,mean_vol_mean,mean_carbon_mean,total_tpa_mean,harvest_rate_mean,plant_rate_mean
Harvest_p50_biomass,12,56.4,2150.4,39817.4,1626,9.0%,4.7%
Harvest_p50_biomass,13,54,2058.8,38046.1,2339.3,8.7%,4.6%
Harvest_p50_biomass,14,52.1,1992.5,36693.7,3420.4,8.4%,4.5%
Harvest_p50_biomass,15,50.5,1921.6,35386.3,5171.3,8.2%,4.4%
No_harvest,1,114.8,3261.5,65152.2,349,0.0%,0.0%
No_harvest,2,120.4,3504,69958.3,376,0.0%,0.0%
No_harvest,3,122,3678.2,73135.5,409.2,0.0%,0.0%
No_harvest,4,120.1,3792.9,74729.1,455.1,0.0%,0.0%
No_harvest,5,115.4,3818.6,74375.2,523.8,0.0%,0.0%
No_harvest,6,108.9,3774.7,72597.5,633.9,0.0%,0.0%
No_harvest,7,101.6,3691.5,69937.7,805.1,0.0%,0.0%
No_harvest,8,93.9,3564.8,66508.2,1080.5,0.0%,0.0%
No_harvest,9,86.5,3417.6,62735,1537.1,0.0%,0.0%
No_harvest,10,79,3247.8,58631.8,2298.4,0.0%,0.0%
No_harvest,11,71.9,3072.7,54467.9,3607.9,0.0%,0.0%
No_harvest,12,65.3,2901.6,50407,5870.1,0.0%,0.0%
No_harvest,13,59.1,2724.4,46376.4,9804.4,0.0%,0.0%
No_harvest,14,53.5,2563.3,42741,16799,0.0%,0.0%
No_harvest,15,48.5,2412.7,39304.8,29215.3,0.0%,0.0%
