"classifier_set","ft_group","ecoregion","owner","treatment","age","merch_vol_m3_ha","foliage_kgC_m2","other_above_kgC_m2","total_above_kgC_m2"
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",110,197.174,0.0336,0.1208,0.6713
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",115,205.328,0.0344,0.1237,0.6873
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",120,213.262,0.0351,0.1264,0.7025
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",125,220.977,0.0358,0.129,0.7168
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",130,228.472,0.0365,0.1314,0.7302
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",135,235.75,0.0371,0.1337,0.7429
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",140,242.812,0.0377,0.1359,0.7549
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",145,249.661,0.0383,0.1379,0.7662
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",15,17.385,0.0061,0.0218,0.1213
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",150,256.299,0.0388,0.1398,0.7768
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",20,25.833,0.0082,0.0294,0.1635
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",25,34.904,0.0102,0.0368,0.2045
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",30,44.408,0.0122,0.0439,0.2441
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",35,54.209,0.0141,0.0508,0.2822
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",40,64.202,0.0159,0.0574,0.3186
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",45,74.303,0.0177,0.0636,0.3534
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",5,3.638,0.0018,0.0066,0.0365
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",50,84.447,0.0193,0.0696,0.3865
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",55,94.58,0.0209,0.0752,0.418
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",60,104.659,0.0224,0.0806,0.4479
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",65,114.648,0.0238,0.0857,0.4762
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",70,124.519,0.0252,0.0905,0.503
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",75,134.249,0.0264,0.0951,0.5285
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",80,143.817,0.0276,0.0995,0.5525
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",85,153.209,0.0288,0.1035,0.5752
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",90,162.412,0.0298,0.1074,0.5967
"Aspen-birch/ME_NCZ/NIPF/untreated","Aspen-birch","ME_NCZ","NIPF","untreated",95,171.417,0.0308,0.1111,0.617
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",10,2.43,0.0018,0.0066,0.0366
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",100,123.286,0.0223,0.0801,0.4452
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",105,123.661,0.0223,0.0801,0.4452
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",110,123.939,0.0223,0.0802,0.4453
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",115,124.144,0.0223,0.0802,0.4453
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",120,124.295,0.0223,0.0802,0.4453
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",125,124.407,0.0223,0.0802,0.4454
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",130,124.49,0.0223,0.0802,0.4454
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",135,124.551,0.0223,0.0802,0.4454
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",140,124.596,0.0223,0.0802,0.4454
"Aspen-birch/ME_NH/Industrial/untreated","Aspen-birch","ME_NH","Industrial","untreated",145,124.63,0.0223,0.0802,0.4454
