STATECD,UNITCD,COUNTYCD,PLOT,sdimax_metric_mean,sdimax_metric_median,sdimax_english_mean,sdimax_english_median,PLT_CN,CONDID,FORTYPCD,OWNGRPCD,SITECLCD
9,1,5,276,769.79870043701,763.641535622829,311.526448965572,309.034733028446,719393278290487,1,505,40,6
9,1,5,279,373.876310643704,412.08025376157,151.302359098634,166.762944741653,445525687489998,1,505,30,5
9,1,5,287,820.353610334937,823.078775365776,331.98529301056,333.088128056164,567481583126144,1,505,30,5
9,1,5,300,736.648208980568,724.828894105977,298.110922440227,293.327815908614,814949787290487,1,510,30,5
9,1,5,301,1051.82612698532,1049.69742359428,425.65888729473,424.797431685705,14167091020004,1,520,40,4
9,1,5,312,775.998686821175,768.585433380301,314.035494175439,311.035457258767,144992371010661,1,805,40,5
9,1,5,327,488.961598839877,435.934933674061,197.875718003475,176.416590194848,1285453443290487,1,503,40,4
9,1,5,340,695.683784186429,683.32737243945,281.533209613756,276.532747712082,944325531290487,1,520,40,5
9,1,5,341,1186.45619673558,1161.06637712008,480.141737849656,469.866843464666,719393294290487,1,401,40,5
9,1,5,348,905.56486878019,901.747754404806,366.469062261232,364.924331039962,814949778290487,1,505,40,4
9,1,5,352,600.166521747018,548.723855950151,242.878748953105,222.0606428795,814949789290487,2,520,30,4
9,1,5,366,1115.53575292645,1153.67569517674,451.441255494492,466.875940908016,567481581126144,2,516,40,6
9,1,5,375,1037.36196756118,1092.70377549154,419.805450259677,442.201483007059,567481587126144,1,503,40,5
9,1,5,382,777.520055217047,800.988309350772,314.651170057544,324.148434562603,503649939126144,1,505,40,5
9,1,5,390,745.183909966883,772.437898052221,301.565197715294,312.594494236002,719393326290487,1,962,40,5
9,1,5,414,1063.40800895069,1043.3233145323,430.345908147015,422.217921535493,1285453461290487,1,401,30,4
9,1,5,416,796.584446856987,760.022301730834,322.366254826988,307.570081189324,1285453464290487,1,103,40,5
9,1,5,430,674.087903511521,649.907651074477,272.793667685302,263.008267719665,245794811489998,1,801,40,5
9,1,5,435,552.579859627874,575.4418391681,223.621112041422,232.873025948846,503649929126144,2,805,40,5
9,1,5,436,475.673927797838,501.412160009841,192.498388875225,202.914280820879,14167059020004,2,802,40,6
9,1,5,444,1210.46441706392,1149.76544042785,489.857518898163,465.293517118809,445525693489998,1,801,30,5
9,1,5,445,1081.83256224043,1087.86307320187,437.802059549806,440.242520496543,445525701489998,1,801,40,5
9,1,5,448,747.025572058499,705.819332141157,302.310491843837,285.634919919143,814949781290487,1,503,40,5
9,1,5,449,1520.85854923883,1460.49999687849,615.469554513846,591.04331753677,1285453450290487,1,105,40,5
9,1,5,452,1049.76946725115,1011.21041184916,424.826586716212,409.222292245424,567481569126144,1,962,40,5
9,1,5,459,526.089299108576,502.881396464741,212.900763663334,203.508859657172,1285453444290487,1,708,40,6
9,1,5,462,519.839975272746,503.850760467101,210.371752297236,203.901147310085,1285453455290487,1,516,40,6
9,1,5,479,1281.47503060523,1243.40175064552,518.594491645496,503.186783501033,445525666489998,1,503,40,6
9,1,5,503,692.724597076041,681.456201157872,280.335669202476,275.775511639294,814949790290487,1,962,40,4
9,1,5,508,839.475524027223,785.077160391146,339.723656126271,317.709421699187,719393283290487,1,962,40,4
9,1,5,517,634.217733827897,634.253918768229,256.658784144783,256.673427669072,445525667489998,1,503,40,5
9,1,5,520,1155.64839834595,1123.73626615389,467.67426547367,454.759885110247,814949799290487,1,805,40,5
9,1,5,521,717.994896535231,747.742305904404,290.562195501298,302.600543710307,503649936126144,1,503,40,5
9,1,5,544,701.228512191209,668.10362763999,283.777081193207,270.371917413666,144992387010661,1,505,40,5
9,1,5,558,1176.0449821813,1121.20449681244,475.928469241029,453.73531451524,503649784126144,1,519,40,5
9,1,5,567,1048.40534523645,1030.00512034243,424.27454618022,416.828240128848,814949752290487,1,505,30,5
9,1,5,572,589.663673266023,561.718458245444,238.628397413864,227.319371306132,567481584126144,2,503,40,6
9,1,5,594,579.212500695507,654.55201477164,234.398958371462,264.88777482907,503649787126144,1,702,40,6
9,1,5,598,650.214218690156,615.644425321288,263.132331219157,249.142433647801,445525668489998,1,505,40,5
9,1,5,604,1136.48165190789,1148.66588114276,459.917759191336,464.848541309787,1285453423290487,1,801,40,4
9,1,5,611,583.86415802789,554.749481833182,236.281417110011,224.49912690535,567481586126144,1,801,40,5
9,1,5,628,1697.2421283839,1662.57194920086,686.849449070316,672.81892680552,503649792126144,1,516,40,5
9,1,5,632,913.67451053446,903.226073182544,369.750917500344,365.522585361522,445525686489998,1,506,40,5
9,1,5,638,1539.62259095931,1526.36875307445,623.063091995923,617.699454659186,503649934126144,2,503,40,4
9,1,5,645,720.889777869082,702.738941857361,291.733712290816,284.388330328911,814949800290487,1,401,40,4
9,1,5,650,1337.24820052292,1324.05248868281,541.165090377538,535.824975814096,719393296290487,1,503,40,4
