PLT_CN,asym_agb
22808,180.57
22809,169.63
22811,195.09
22813,185.72
22815,198.87
22817,199.38
22819,175.36
22820,205.36
22822,214.02
22824,180.42
22825,190.03
22827,211.93
22829,187
22830,183.72
22832,223.23
22834,171.35
22835,188.44
22837,219.57
22839,193.22
22840,188.37
22842,189.54
22844,207.34
22845,194.27
22847,190.83
22849,191.36
22850,196.36
22852,188.9
22853,219.42
22855,208.31
22856,208.26
22858,191.13
22860,186.2
22861,195.72
22863,213.51
23354,195.98
23355,194.62
23356,203.56
23360,225.96
23361,225.9
23364,203.18
23366,192.9
23367,185.82
23369,206.35
23371,199.15
23372,206.38
23376,197.21
23378,189.2
23381,206.41
23383,245.27
23718,194.01
23720,165.39
23722,176.1
23723,188.69
23724,183.84
23725,223.97
23727,216.62
23729,187.6
23730,166.91
23732,164.75
23734,160.54
23735,163.18
23737,190.05
23934,181.84
23936,187.37
23937,176.75
23939,190.68
23941,186.79
23942,192.82
23945,201.62
23948,169.64
23949,186.89
23951,179.55
23953,184.79
23954,173.36
23956,202.18
23962,196.97
23963,176.37
23965,213.94
23967,194.61
23968,171
23970,220.27
23971,191.11
23974,184.25
23975,201.04
23977,176.14
23978,180.95
23980,195.04
23982,184.06
23983,186.93
23986,179.08
24009,188.34
24011,181.41
24012,187.7
24014,192.9
24016,195.46
24017,192.39
24148,190.45
24154,203.33
24156,188.59
24158,250.74
24159,195.44
24161,176.73
24163,184.56
24164,211.21
24166,218.49
24168,188.52
24169,187.45
24171,181.95
24172,181.74
24175,186.55
24176,180.26
24178,210.64
24179,207.16
24181,193.99
24182,187.33
24184,186.98
24187,192.84
24188,188.3
24189,189.85
24191,191.44
24192,188.85
24196,261.72
24197,225.06
24199,200
24200,180.46
24201,195.27
24203,198.25
24205,184.42
24206,183.18
24208,194.03
24211,193.15
24212,199.23
24214,216.21
24215,207.33
24217,179.51
24219,197.38
24221,185.1
24223,190.8
24224,213.11
24226,185.46
24227,185.73
24229,203.96
24231,195.62
26491,196.24
26490,197.12
26444,215.9
24232,198.97
24234,205.91
24236,230
24238,190.58
24239,199.78
24240,206.12
24241,208.94
24243,210.95
24245,246.9
24246,240.73
24249,232.63
24251,206.14
24252,206.6
24253,202.77
24255,185.35
24257,185.58
24258,192.7
24260,195.33
24263,204.09
24264,197.34
24265,210.37
24267,202.06
24269,201.96
24270,223.56
24272,193.26
24274,193.27
24275,193.52
24276,218.18
24279,186.3
24281,198.78
24282,197.64
24284,215.34
24286,234.95
24287,218.38
24289,210.11
24290,203.49
24292,216.84
24293,233.03
24296,213.55
24297,209.12
24298,218.11
24300,224.86
24302,220.41
24304,215.83
24305,215.02
24307,216.32
24309,223.79
24310,225.32
24312,221.71
24314,222.4
24316,213.36
24317,226.37
24318,231.46
24320,208.26
24321,190.74
24323,201.55
24325,219.85
24326,212.81
24329,202.04
24330,234.47
24332,228.48
24334,218.52
24335,224.63
24337,226.17
24338,230.38
24340,239.82
24341,232.23
24343,210.78
24346,202.44
24347,227.06
24349,222.39
24350,241.31
24352,212.75
24354,235.89
24385,160.64
24387,211.05
24388,170.91
24391,176.41
24393,156.98
24394,167.01
24396,169.43
24398,153.85
24399,147.91
24400,142.16
24401,164.02
24404,170.07
24406,177.42
24407,180.54
24409,171.54
24411,177.74
24413,159.84
24414,160.28
24415,164.35
24417,169.69
24419,196.1
24421,182.44
24422,182.51
24423,170.19
24425,138.74
24426,167.85
24428,163.63
24430,174.88
24432,183.22
24433,180.69
24436,166.35
24437,166.52
24438,182.73
24441,188.09
24442,182.06
24443,179.08
24445,162.04
24446,173.23
24448,191.48
24450,179.19
24452,177.45
24453,178.68
24455,157.07
24458,158.3
24459,162.15
24460,151.22
24462,167.14
24464,167.45
24466,172.6
24467,169.8
24469,182.12
24471,176.5
24473,168.7
24474,185.05
24475,175.68
24477,170.69
24478,165.34
24481,163.66
24483,178.08
24484,170.78
24486,179.04
24487,161.52
24488,177.92
24491,187.5
24492,187.1
24494,165.78
24495,176.12
24497,187.61
24498,188.18
24500,174.25
24502,176.87
24503,177.7
24506,177.7
24507,181.47
24509,157.31
24511,165.89
24512,168.26
24513,184.81
24516,166.31
24517,189.47
24519,174.32
24521,162.2
24522,183.32
24523,176.52
24526,164.3
24527,177.15
24528,182.43
24530,183.64
24533,161.53
24534,174.66
24536,169.27
24538,162.05
24539,159.81
24540,183.51
24541,167.13
24543,171.17
24545,160.8
24546,154.33
24548,157.82
24551,166.48
24552,163.73
24554,157.01
24555,192.51
24557,180.82
24558,190.03
24560,191.49
24562,183.81
24563,166.84
24565,159.93
24567,162.37
24568,152.78
24570,167.57
24573,163.45
24574,161.03
24576,165.88
24577,175.72
24578,188.55
24580,184.09
24582,186.37
24583,182.61
24585,158.55
24587,183.34
24588,184.29
24590,169.14
24591,166.34
24594,179.45
24595,177.94
24597,186.15
24599,181.64
24600,179.89
24601,188.4
24603,182.63
24605,189.18
24606,190.29
24608,187.93
24610,181.67
24611,189
24613,172.99
24616,177.87
24617,182.93
24619,181.27
24621,186.09
24622,187.9
24624,182.29
24625,165.3
24627,180.17
24629,159.07
24630,173.3
24632,175.62
24633,185.95
24636,176.57
24637,180.21
24639,182.02
25015,195.54
25016,191.96
25018,194.77
25021,202.8
25022,191.84
25024,194.81
25025,194.15
25027,198.55
25029,198.96
25030,205.56
25031,215.91
25033,203.6
25035,205.35
25036,201.83
25039,199.39
25040,212.5
25042,191.62
25043,209.27
25044,217.28
25046,212.1
25048,209.24
25049,204.03
25051,198.91
25054,192.73
25055,210.52
25056,214.73
25058,231.86
25059,228.9
25061,192.93
25064,197.68
25066,228.63
25067,199.06
25069,205.19
25071,198.39
25072,220.78
25074,229.74
25076,237.62
25077,231.29
25079,230.24
25081,230.27
25082,204.09
25084,209.78
25085,193.15
25086,188.89
25088,212.87
25090,196.72
25091,203.35
25093,191
25095,189.75
25096,188.62
25098,220.45
25099,202.69
25101,222.03
25103,222.65
25104,226.42
25106,219.96
25108,212.86
25109,189.97
25111,190.52
25113,202.05
25114,194.26
25116,208.33
25118,220.39
25119,202.04
25121,197.72
25123,186.62
25124,189.75
25127,206.26
25129,221.93
25130,222.14
25132,218.53
25134,200.85
25135,217.71
25137,190.66
25139,210.67
25140,203.27
25142,189.21
25144,204.35
25145,212.05
25147,186.86
23904,193.58
23906,193.68
23907,198.42
23909,196.61
23911,190.72
23912,199.84
23914,146.58
23916,174.44
23917,186.03
23920,171.85
23922,167.89
23923,175.78
23925,189.16
23926,176.12
23928,185.97
23930,165.9
23931,179.89
23933,206.27
23988,187.5
23989,177.28
23991,178.02
23994,195.31
23996,185.56
23997,183.27
23999,191.2
24002,181.3
24003,190.51
24004,187.36
24005,174.8
24007,179.07
24020,163.86
24022,161.48
24023,168.99
24025,162.31
24026,161.27
24027,170.56
24029,156.33
24032,166.8
24033,161.7
24034,165.8
24035,165.32
24038,162.6
24040,170.75
24041,159.66
24042,166.27
24044,161.54
24046,164.35
24047,160.18
24049,160.62
24051,161.75
24052,167.66
24054,153.5
24056,168.16
24057,168.89
24059,174.43
24061,166.37
24062,163.78
24065,165.39
24067,166.3
24068,167.28
24070,166.71
24072,162.36
24073,183.83
24075,166.12
24076,163.69
24078,171.07
24080,164.32
24081,163.68
24083,162.58
24085,166.39
24086,164.95
24088,171.54
24090,182.4
24091,163.05
24093,162.04
24095,154.65
24096,167.22
24097,169.06
24099,169.94
24101,170.35
24102,161.61
24104,165.99
24107,179.3
24108,163.6
24110,171.43
24112,174.1
24113,166.68
24115,163.14
24117,160.75
24118,178.14
24120,170.14
24122,176.78
24123,174.12
24124,159.37
24126,182.16
24127,172.94
24130,168.7
24131,176.13
24132,172.37
24134,176.86
24136,178.02
24138,171.17
24140,170.53
24141,164.93
24142,175.33
24144,181.06
24147,128.95
24355,167.37
24357,173.28
24359,176.91
24360,185.92
24362,173.78
24363,180.7
24365,182.38
24367,179.16
24369,173.78
24371,172.75
24372,176.53
24373,177.16
24375,180.56
24378,191.29
24379,186.78
24380,184.69
24382,196.46
24383,190.01
24641,171.9
24642,170.38
24643,173.48
24647,162.72
24648,188.03
24650,162.05
24652,169.21
24654,174.54
24655,163.21
24656,178.11
24658,174.32
24660,161.76
24662,165.66
24663,162.46
24665,172.39
24667,168.7
24669,165.77
24670,161.42
24672,177.13
24674,168.43
24675,184.07
24677,170.68
24679,165.86
24682,185.03
24684,178.76
24687,200.79
24689,162.28
24690,173.86
24692,204.48
24694,185.5
24695,189.92
24697,176.57
24698,186.34
24699,190.63
24702,184.95
24703,187.76
24704,209.27
24706,187.93
24708,190.53
24709,181.78
24712,174.19
24713,178.2
24714,189.29
24716,180.28
24719,174.84
24720,179.68
24721,177.61
24722,173.4
24724,176.38
24726,176.03
24728,174.08
24730,186.76
24731,187.04
24732,183.39
24734,181.65
24737,178.52
24739,191.05
24740,170.55
24741,173.2
24742,171.28
24744,179.35
24747,186.82
24748,181.86
24749,176.78
24751,179.32
24753,179.6
24754,183.96
24756,179.29
24757,177.2
24759,183.96
24761,174.24
24763,180.81
24765,175.32
24767,181.98
24769,217.4
24770,172.12
24772,179.4
24773,179.58
24775,176.95
24777,176.3
24778,175.87
24779,185.23
24781,181.45
24783,181.91
24784,191.73
24787,177.58
24788,179.52
24789,174.69
24791,173.82
24794,184.95
24795,184.57
24796,180.56
24798,187.01
24800,191.29
24802,183.03
24804,179.37
24805,175.8
24807,175.38
24808,167.45
24810,176.4
24811,170.5
24813,161.4
24815,178.62
24816,175.22
24818,163.21
24820,165.72
24822,168.89
24823,166.76
24824,167.69
24826,173.9
24828,172.89
24829,167.35
24832,164.97
24833,170.35
24835,195.3
24836,161.19
24837,162.75
24840,167.55
24842,165.63
24843,169.8
24845,164.06
24846,181.94
24848,159.61
24850,165.21
24851,177.38
24852,157.78
24855,173.51
24856,174.69
24859,166.83
24860,175.95
24861,167.77
24863,162.9
24865,165.37
24866,177.47
24868,168.53
24869,164.24
24872,160.28
24873,168.01
24874,172.47
24876,173.16
24878,162.33
24880,159
24881,168.52
24882,173.28
24884,179.49
24887,166.12
24889,182.41
24890,169.99
24892,176.05
24894,168.95
24895,160.2
24897,183.02
24898,159.37
24900,154.96
24901,160.59
24903,161.96
24905,163.41
24906,167.17
24907,164.59
24909,170.92
24911,186.3
24913,155.91
24914,172.22
24916,170.13
24917,180.21
24919,176.48
24921,170.34
24922,179.61
24924,171.74
24928,153.74
24929,165.72
24932,169.23
24934,165.1
24935,169.6
24937,169.95
24938,169.64
24940,174.81
24941,170.13
24943,167.55
24945,156.22
24946,177.68
24948,159.91
24950,171
24951,173.91
24953,169.38
24955,175.1
24956,177.52
24959,168.96
24960,172.13
24961,178.18
24963,172.46
24964,183.21
24966,158.43
24969,163.66
24970,180.69
24971,181.45
24973,171.29
24976,162.2
24977,168.74
24979,177.32
24980,175.61
24981,174.78
24983,168.13
