STATECD,FORTYPCD,n_plots,sdimax_metric_mean,sdimax_metric_median,sdimax_metric_p25,sdimax_metric_p75,sdimax_english_mean,sdimax_english_median
36,409,19,935.9,947.1,749.8,1082.8,378.7,383.3
36,502,17,734.3,719.4,557,886.4,297.1,291.1
36,503,245,881.8,841.6,689.8,1063.7,356.9,340.6
36,504,7,732.6,592.1,532.3,945.8,296.5,239.6
36,505,101,976.5,922.4,824.7,1128.6,395.2,373.3
36,506,4,901.2,965.1,868,1028,364.7,390.6
36,507,2,952.1,942.6,837.3,1066.9,385.3,381.5
36,509,4,973,676.6,591.1,1095.7,393.8,273.8
36,510,12,769.1,686.5,678.1,765.7,311.2,277.8
36,512,9,685.9,703.3,541,796.8,277.6,284.6
36,513,17,750.3,670.4,590.7,866.6,303.6,271.3
36,515,30,853.8,804.3,688.3,1038.2,345.5,325.5
36,516,37,801.3,761.9,632.1,983.2,324.3,308.3
36,517,82,690.6,640.4,497.8,871.9,279.5,259.2
36,519,45,858.1,849.6,746.7,982.7,347.3,343.8
36,520,43,816.4,775.1,546,1017.6,330.4,313.7
36,608,5,819.9,795.1,705.1,762.9,331.8,321.8
36,701,55,807.9,767.3,568.4,957.9,326.9,310.5
36,702,6,684.8,604.1,586.5,686.4,277.1,244.5
36,703,18,849.8,841.5,661,963.7,343.9,340.5
36,704,17,898.4,739.4,622.5,1242.6,363.6,299.2
36,705,15,764.5,545.8,496,948.2,309.4,220.9
36,706,64,693.3,616.7,459.6,907.6,280.6,249.6
36,707,25,978.8,945.5,721.3,1098.1,396.1,382.6
36,708,82,804.8,771.9,607.9,1006,325.7,312.4
36,709,6,782.1,700.2,672.5,880.1,316.5,283.4
36,801,1236,931.6,897.1,750.7,1083.8,377,363
36,802,37,756.4,673.7,498.1,939.7,306.1,272.6
36,805,382,852.7,795.9,653.6,1000.6,345.1,322.1
36,809,211,936.6,915.7,764.9,1106,379,370.6
36,901,85,739.4,710.2,529.7,925.7,299.2,287.4
36,902,18,905.8,973.7,776.3,1022,366.5,394.1
36,903,14,684.9,599.2,552,767.4,277.2,242.5
36,904,1,1098.5,1166.9,1098.5,1098.5,444.6,472.2
36,962,52,673.3,611.8,462.6,840.2,272.5,247.6
36,995,23,525,486.8,336.7,599,212.4,197
36,999,48,583.2,484.3,381.6,660.3,236,196
44,103,10,1165,1126.8,1046.3,1279.8,471.5,456
44,105,1,775.5,769.5,775.5,775.5,313.8,311.4
44,167,2,1096,1077.1,835,1357.1,443.6,435.9
44,171,2,817,835.2,766.8,867.1,330.6,338
44,401,11,968.3,911.4,792.9,1195.2,391.9,368.8
44,409,4,800.4,790.4,627.1,953.1,323.9,319.9
44,502,1,625.3,627.6,625.3,625.3,253,254
44,503,36,850.2,840.5,733.2,985.1,344.1,340.1
44,504,5,706.6,740.9,588.8,816.2,286,299.8
44,505,13,950.9,897.5,850.7,1081.7,384.8,363.2
44,506,1,960.1,933.6,960.1,960.1,388.6,377.8
44,510,9,669.7,653.3,597.1,758.4,271,264.4
44,513,1,480.1,510.1,480.1,480.1,194.3,206.4
44,515,12,854,883.3,806.5,882,345.6,357.5
44,517,1,733.5,753.5,733.5,733.5,296.8,304.9
44,519,13,726.5,767.7,634.3,818.5,294,310.7
44,520,3,910.1,1035.5,818.3,1056.3,368.3,419.1
44,606,1,1546.6,1477.1,1546.6,1546.6,625.9,597.8
44,608,5,808.9,782.9,699.3,868,327.4,316.8
44,707,1,436.6,414.2,436.6,436.6,176.7,167.6
44,708,8,622.6,593.8,531.6,748.1,252,240.3
44,801,3,839.5,793.5,780.9,874.7,339.7,321.1
44,802,2,354.3,360.7,293.4,415.2,143.4,146
44,809,6,647,716.9,499.9,764,261.8,290.1
44,901,1,471.6,438.8,471.6,471.6,190.9,177.6
44,962,3,752.2,686.8,711.1,778.1,304.4,278
44,999,1,571,544.7,571,571,231.1,220.4
50,103,37,1191.8,1163.1,932.1,1490,482.3,470.7
50,104,11,989.2,956.7,906.5,1169.8,400.3,387.2
50,105,33,1158.7,1148.1,1012.5,1320.3,468.9,464.6
50,121,38,1024.2,1050.1,878.8,1206.6,414.5,425
50,122,2,1238.3,1176.1,1090,1386.7,501.1,475.9
50,123,19,1087,1103.1,875.5,1317.3,439.9,446.4
50,124,13,1021.3,1015.1,929.6,1217.7,413.3,410.8
50,127,8,1103.6,1128.6,841.3,1475.1,446.6,456.7
50,171,1,1085.3,1034,1085.3,1085.3,439.2,418.5
50,381,1,1168.3,1169.5,1168.3,1168.3,472.8,473.3
50,384,3,1121.3,1167.8,993.1,1305.5,453.8,472.6
50,401,18,1112.4,970.1,841.8,1260.9,450.2,392.6
50,409,1,1145.3,1230.1,1145.3,1145.3,463.5,497.8
50,503,10,941.5,857.4,838,954.9,381,347
50,505,13,1024.9,959.4,846.1,1234.7,414.8,388.3
50,513,1,442.4,394.9,442.4,442.4,179,159.8
50,515,1,995,961.3,995,995,402.7,389
50,517,4,934.7,963.9,824.5,1106.4,378.3,390.1
50,519,2,781.2,835.9,722.7,839.7,316.1,338.3
50,701,6,826.6,790.2,516,1102.7,334.5,319.8
50,703,2,1029.1,981.3,857.1,1201.1,416.5,397.1
50,705,1,510.5,507.9,510.5,510.5,206.6,205.5
50,706,6,755.3,608.7,540.4,945.8,305.6,246.3
50,707,1,978.5,936.8,978.5,978.5,396,379.1
50,708,6,729.6,636.2,444.3,761.3,295.3,257.4
50,801,562,937.4,891.2,757.2,1088.6,379.4,360.7
50,802,3,529.2,642.4,466.5,635.1,214.2,260
50,805,74,877.3,808.8,699.3,1000,355,327.3
50,809,65,1030,923.7,820.6,1233.3,416.8,373.8
50,901,14,874.1,732.7,671.9,1118.1,353.7,296.5
50,902,26,1005.2,1022.6,884.9,1180.2,406.8,413.9
50,903,1,645.9,789.3,645.9,645.9,261.4,319.4
50,904,1,396.1,383,396.1,396.1,160.3,155
50,905,3,766.2,702.6,571.9,884,310.1,284.3
50,962,10,879,852,768.4,986.9,355.7,344.8
50,995,2,739.8,596.5,672.8,806.9,299.4,241.4
50,999,2,196.6,194.1,181.9,211.3,79.6,78.6
