"ft_group","ecoregion","owner_label","n_plots","flag"
"Northern hardwood","ME_NCZ","Tribal",1,"<30 (collapse)"
"Northern hardwood","ME_NCZ","Federal",26,"<30 (collapse)"
"Northern hardwood","ME_NCZ","State",64,"ok"
"Northern hardwood","ME_NCZ","Local",4,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_NCZ","NIPF",17,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_NCZ","Industrial",11,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_NCZ","Federal",1,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_NCZ","State",2,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_NCZ","Local",1,"<30 (collapse)"
"Other","ME_NCZ","NIPF",70,"ok"
"Other","ME_NCZ","Industrial",23,"<30 (collapse)"
"Other","ME_NCZ","Federal",1,"<30 (collapse)"
"Other","ME_NCZ","State",8,"<30 (collapse)"
"Other","ME_NCZ","Local",3,"<30 (collapse)"
"Spruce-fir","ME_NCZ","NIPF",163,"ok"
"Spruce-fir","ME_NCZ","Industrial",123,"ok"
"Spruce-fir","ME_NCZ","Federal",14,"<30 (collapse)"
"Spruce-fir","ME_NCZ","State",31,"ok"
"Spruce-fir","ME_NCZ","Local",6,"<30 (collapse)"
"White/Red pine","ME_NCZ","NIPF",38,"ok"
"White/Red pine","ME_NCZ","Industrial",10,"<30 (collapse)"
"White/Red pine","ME_NCZ","Federal",7,"<30 (collapse)"
"White/Red pine","ME_NCZ","State",7,"<30 (collapse)"
"White/Red pine","ME_NCZ","Local",1,"<30 (collapse)"
"Aspen-birch","ME_NH","NIPF",77,"ok"
"Aspen-birch","ME_NH","Industrial",76,"ok"
"Aspen-birch","ME_NH","Federal",1,"<30 (collapse)"
"Aspen-birch","ME_NH","State",22,"<30 (collapse)"
"Aspen-birch","ME_NH","Local",2,"<30 (collapse)"
"Mixedwood","ME_NH","NIPF",9,"<30 (collapse)"
"Mixedwood","ME_NH","Industrial",9,"<30 (collapse)"
"Mixedwood","ME_NH","State",4,"<30 (collapse)"
"Mixedwood","ME_NH","Local",1,"<30 (collapse)"
"Northern hardwood","ME_NH","NIPF",243,"ok"
"Northern hardwood","ME_NH","Industrial",281,"ok"
"Northern hardwood","ME_NH","Federal",1,"<30 (collapse)"
"Northern hardwood","ME_NH","State",52,"ok"
"Northern hardwood","ME_NH","Local",11,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_NH","NIPF",3,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_NH","Industrial",5,"<30 (collapse)"
"Oak/Pine/Hemlock","ME_NH","State",2,"<30 (collapse)"
"Other","ME_NH","NIPF",61,"ok"
"Other","ME_NH","Industrial",37,"ok"
"Other","ME_NH","Federal",1,"<30 (collapse)"
"Other","ME_NH","State",10,"<30 (collapse)"
"Other","ME_NH","Local",3,"<30 (collapse)"
"Spruce-fir","ME_NH","NIPF",300,"ok"
"Spruce-fir","ME_NH","Industrial",329,"ok"
"Spruce-fir","ME_NH","Federal",4,"<30 (collapse)"
"Spruce-fir","ME_NH","State",70,"ok"
"Spruce-fir","ME_NH","Local",24,"<30 (collapse)"
"White/Red pine","ME_NH","NIPF",8,"<30 (collapse)"
"White/Red pine","ME_NH","Industrial",7,"<30 (collapse)"
"White/Red pine","ME_NH","State",6,"<30 (collapse)"
"White/Red pine","ME_NH","Local",1,"<30 (collapse)"
