STATECD,COUNTYCD,FORTYPCD,n_plots,sdimax_metric_mean,sdimax_metric_median,sdimax_metric_p25,sdimax_metric_p75,sdimax_english_mean,sdimax_english_median
23,17,503,1,895.9,846.5,895.9,895.9,362.6,342.6
23,17,505,6,1053.5,978.9,880.3,1217.9,426.3,396.2
23,17,519,1,518.4,517.3,518.4,518.4,209.8,209.4
23,17,708,2,826.6,853.5,757.5,895.7,334.5,345.4
23,17,801,128,887.6,842,720.1,1024.4,359.2,340.7
23,17,805,2,927.3,933.7,776.7,1077.9,375.3,377.8
23,17,809,15,901.3,844.6,767.6,1037.8,364.7,341.8
23,17,901,6,1018.8,1019.6,818.5,1277.7,412.3,412.6
23,17,902,11,1080.4,1068.4,1004.5,1184.3,437.2,432.4
23,17,903,3,1163.2,1177.5,1048.8,1364.4,470.7,476.5
23,17,905,1,305.9,342.1,305.9,305.9,123.8,138.4
23,19,102,2,629.1,757.9,556.4,701.7,254.6,306.7
23,19,103,21,1110.4,1004.2,815.5,1163,449.4,406.4
23,19,104,5,1396,1370.9,1320.3,1624.1,564.9,554.8
23,19,105,22,1073.3,1053.2,827.5,1286.1,434.4,426.2
23,19,121,38,1139.1,1047.4,841.6,1429.5,461,423.9
23,19,122,3,970.5,967.3,904.1,1055.5,392.8,391.5
23,19,123,18,1212.4,1212.2,997.8,1347.2,490.6,490.6
23,19,124,14,1134.9,993.4,770.2,1397.8,459.3,402
23,19,125,8,916.3,897,527.9,1280,370.8,363
23,19,126,2,891.3,896.1,831,951.6,360.7,362.6
23,19,127,32,1158.7,1137.4,974,1349.5,468.9,460.3
23,19,384,1,761.6,681.4,761.6,761.6,308.2,275.8
23,19,385,1,922.9,970.6,922.9,922.9,373.5,392.8
23,19,401,2,1416.8,1396.7,1364.2,1469.5,573.4,565.2
23,19,505,3,895.3,809.2,792.3,967.7,362.3,327.5
23,19,516,1,1124.2,1109,1124.2,1124.2,454.9,448.8
23,19,701,7,1004.5,1038.5,989.3,1143.7,406.5,420.3
23,19,706,2,869.2,855.1,800.4,937.9,351.7,346
23,19,707,1,642.2,637.3,642.2,642.2,259.9,257.9
23,19,708,11,725,849.8,484.3,992.5,293.4,343.9
23,19,801,104,939.2,869.9,732.6,1104,380.1,352.1
23,19,805,2,1244.2,1199.3,1169.4,1318.9,503.5,485.3
23,19,809,14,919.4,848.3,649.9,1054.8,372.1,343.3
23,19,901,22,1105.3,1136.4,922.5,1288.5,447.3,459.9
23,19,902,6,1027.7,978.8,817.1,1097.6,415.9,396.1
23,19,903,7,872.6,899.4,733.3,1018.5,353.1,364
23,19,904,3,1164.7,1108.6,1093.4,1253.2,471.3,448.6
23,19,905,3,1002.2,908.6,892.4,1126.4,405.6,367.7
23,19,962,1,1193.8,1185.7,1193.8,1193.8,483.1,479.9
23,19,999,1,472,520.4,472,472,191,210.6
23,21,102,1,980.2,968.4,980.2,980.2,396.7,391.9
23,21,103,6,1313,1360,1176.7,1501.9,531.4,550.4
23,21,104,1,1691.5,1639.8,1691.5,1691.5,684.5,663.6
23,21,105,4,1241,1323.3,1120.2,1457.8,502.2,535.5
23,21,121,70,1219.5,1188.7,920.3,1453.9,493.5,481.1
23,21,122,2,889,868.1,851.3,926.7,359.8,351.3
23,21,123,45,1179.9,1121.2,939.5,1410.2,477.5,453.8
23,21,124,37,1246.1,1210.2,985.3,1445.8,504.3,489.7
23,21,125,10,1015.9,1006.8,796,1088.4,411.1,407.4
23,21,126,3,554.9,706.5,324.9,741.3,224.6,285.9
23,21,127,25,1337.1,1323.1,1133,1580,541.1,535.4
23,21,401,7,1137.4,1008.1,916.9,1114.6,460.3,408
23,21,516,1,814.2,791.3,814.2,814.2,329.5,320.2
23,21,701,1,906.1,894.7,906.1,906.1,366.7,362.1
23,21,708,3,770.8,665.4,649,836.5,311.9,269.3
23,21,801,178,949.2,911.5,770.5,1124.9,384.1,368.9
23,21,805,3,671.8,842.7,553.2,880,271.8,341
23,21,809,16,1001.8,951.3,822.3,1201.5,405.4,385
23,21,901,13,1156.3,1035.2,848.9,1415.7,468,418.9
23,21,902,20,1047.3,1048.4,858.7,1184.1,423.8,424.3
23,21,903,1,501.9,472.2,501.9,501.9,203.1,191.1
23,21,905,2,1066.9,1073.3,926.8,1207.1,431.8,434.4
23,21,962,1,758,732,758,758,306.7,296.3
23,23,103,2,1060.3,1047.2,1004.6,1115.9,429.1,423.8
23,23,104,1,1030.8,1018.2,1030.8,1030.8,417.1,412.1
23,23,105,2,1032.6,1031.8,950.2,1115,417.9,417.5
23,23,123,2,970.7,959.4,946.2,995.2,392.8,388.2
23,23,401,1,951.1,924.1,951.1,951.1,384.9,374
23,23,503,1,924.3,1028.2,924.3,924.3,374,416.1
23,23,505,4,710.4,674,580.9,795.4,287.5,272.8
23,23,708,1,899,886.6,899,899,363.8,358.8
23,23,801,6,1080,1067.7,909.1,1261.9,437.1,432.1
23,23,809,2,682.6,743.4,648.6,716.5,276.2,300.8
23,25,102,4,1034.9,1062.3,965.8,1165.4,418.8,429.9
23,25,103,6,1352.4,1187.6,1006.5,1550.8,547.3,480.6
23,25,104,2,1046.8,1047.5,1010.9,1082.8,423.6,423.9
23,25,105,2,952.8,940.3,810.6,1095,385.6,380.5
23,25,121,56,1221,1096.5,898.7,1466.6,494.1,443.7
23,25,122,1,863.2,779.4,863.2,863.2,349.3,315.4
23,25,123,30,1156.1,1050.7,909.4,1291.8,467.9,425.2
23,25,124,38,1078.5,1007,877.9,1235.5,436.5,407.5
23,25,125,14,1104.1,889.6,651.1,1388,446.8,360
23,25,127,15,1285.6,1192.1,1081.1,1380.7,520.3,482.4
23,25,401,6,856.3,927.6,826.7,978.1,346.5,375.4
23,25,409,1,1135.7,1040.3,1135.7,1135.7,459.6,421
23,25,517,1,530.9,465.1,530.9,530.9,214.8,188.2
23,25,520,1,1021.8,893.4,1021.8,1021.8,413.5,361.5
23,25,701,7,918.3,723,652,1273.4,371.6,292.6
23,25,708,3,881.8,701.5,676.8,1004.8,356.9,283.9
23,25,801,169,909.4,877.6,707,1057.6,368,355.2
23,25,805,10,768.1,744.5,600.2,895.3,310.9,301.3
23,25,809,17,1025.1,974.8,858,1121.1,414.9,394.5
23,25,901,17,1105.9,1136.8,936.3,1296.8,447.6,460.1
23,25,902,14,953.7,973.3,816.6,1176.4,385.9,393.9
23,25,903,2,806.6,738.1,617.1,996.2,326.4,298.7
23,25,905,4,1012.3,906.6,875.7,1055.9,409.7,366.9
23,25,962,5,615.2,518.3,429.9,805,249,209.8
23,27,103,6,1095.2,1026.4,734.3,1196.2,443.2,415.4
23,27,104,2,1026.8,1017.7,1018,1035.7,415.5,411.8
23,27,105,1,1254.4,1243,1254.4,1254.4,507.7,503
23,27,121,5,909.1,919.6,801.4,1032.1,367.9,372.1
23,27,122,1,856.1,936.7,856.1,856.1,346.4,379.1
23,27,123,3,1010.4,1140.8,890.4,1177.6,408.9,461.7
23,27,125,1,1042.2,1033.3,1042.2,1042.2,421.8,418.2
23,27,127,1,1555.6,1498.5,1555.6,1555.6,629.5,606.4
23,27,401,3,970.9,889.8,873.5,1030.8,392.9,360.1
23,27,505,4,1017.7,1002.5,809.9,1222,411.8,405.7
23,27,516,1,1288.2,1262.3,1288.2,1288.2,521.3,510.8
23,27,701,1,941.3,978.3,941.3,941.3,380.9,395.9
23,27,708,1,829.4,783.8,829.4,829.4,335.7,317.2
23,27,801,28,947,939.9,798.6,1072.7,383.2,380.3
23,27,805,4,847.1,777.5,550.6,1074.4,342.8,314.6
23,27,809,10,1140.7,999.9,832.4,1485.7,461.6,404.6
23,27,901,4,1106,1089.3,804.2,1315.9,447.6,440.8
23,27,999,2,469.8,448.7,432.6,507,190.1,181.6
23,29,102,1,741.5,714.5,741.5,741.5,300.1,289.1
23,29,103,16,989.4,984.8,813.2,1159.9,400.4,398.6
23,29,104,2,1033.1,1057.2,984.3,1081.8,418.1,427.8
23,29,105,14,1038.3,979.9,905.9,1138.2,420.2,396.6
23,29,121,48,988.2,986,788.2,1143.8,399.9,399
23,29,122,2,708.8,682.2,428.9,988.7,286.8,276.1
23,29,123,17,963.6,959.6,745,1086.4,390,388.3
23,29,124,23,1121.9,1159.1,999.8,1291.5,454,469.1
23,29,125,15,931.2,788.4,620.9,883,376.8,319.1
23,29,126,3,531.4,586.8,401.1,666.6,215,237.5
23,29,127,17,1045.7,1126.7,871,1193.1,423.2,455.9
23,29,401,6,981.1,983.3,939.8,1031.4,397,397.9
23,29,505,1,809.7,759,809.7,809.7,327.7,307.2
23,29,708,5,788.1,737.5,659.2,798.9,318.9,298.5
23,29,801,50,1052.8,928.4,756.5,1293.3,426,375.7
23,29,805,1,618.1,580.2,618.1,618.1,250.1,234.8
23,29,809,18,853.6,814.3,696,931.9,345.5,329.5
23,29,901,12,1053.3,875.3,639.5,1264.3,426.3,354.2
23,29,902,9,881.4,874.4,781.5,969.8,356.7,353.8
23,29,903,10,891.8,763.5,572.5,915.3,360.9,309
23,29,905,1,1798.1,1658.9,1798.1,1798.1,727.7,671.3
23,29,962,7,688.6,767.1,365.2,879.7,278.7,310.4
23,29,999,1,289.2,346.6,289.2,289.2,117,140.3
23,31,102,1,909.9,937.5,909.9,909.9,368.2,379.4
23,31,103,18,1219.5,1152.3,957.4,1430.5,493.5,466.3
23,31,104,4,1254,1271.5,1015,1547.6,507.5,514.6
23,31,105,4,1146.4,1140.1,1030,1261.2,463.9,461.4
23,31,121,1,1202,1172.4,1202,1202,486.4,474.5
23,31,401,9,912.6,940.9,643.5,1140.6,369.3,380.8
23,31,503,6,921.9,886.2,783.5,980.8,373.1,358.6
23,31,505,12,816.9,853.3,654.6,912.2,330.6,345.3
23,31,519,1,645.5,756.2,645.5,645.5,261.2,306
23,31,701,1,966.6,886.2,966.6,966.6,391.2,358.6
23,31,708,13,895.8,825,711.4,919.8,362.5,333.9
23,31,801,17,1015.8,1098.8,880.8,1183,411.1,444.7
23,31,805,2,663.5,662.5,589.7,737.3,268.5,268.1
23,31,809,8,976.8,1021.5,863,1079.4,395.3,413.4
23,31,901,2,1187.4,1106.1,1089.1,1285.6,480.5,447.6
23,31,903,3,981.2,524.1,592,1199.3,397.1,212.1
25,1,167,12,702.3,708,648.7,814.3,284.2,286.5
25,1,409,3,705.6,758.6,656.1,788.7,285.6,307
25,1,503,2,930.6,889.9,819.7,1041.5,376.6,360.1
25,1,510,4,680.3,703.3,531,847.3,275.3,284.6
25,1,515,3,578.9,587.8,509.7,641.5,234.3,237.9
25,1,708,2,724.1,751.5,706,742.2,293,304.1
25,3,103,2,1679.2,1643.4,1630.7,1727.6,679.5,665.1
25,3,104,3,1216.5,1281.3,1172,1283.9,492.3,518.5
25,3,105,3,1325.3,1211.1,1120.2,1489.5,536.3,490.1
25,3,123,1,862,859.1,862,862,348.8,347.7
25,3,127,1,582.3,531.9,582.3,582.3,235.6,215.2
25,3,401,2,1109.1,1083.4,962.8,1255.3,448.8,438.4
25,3,503,4,1065.2,1143.2,1007.9,1177.3,431.1,462.6
25,3,505,7,1196.8,1122.7,937.7,1420.2,484.3,454.3
25,3,517,1,891.5,835.8,891.5,891.5,360.8,338.3
25,3,519,1,1122.4,1077.8,1122.4,1122.4,454.2,436.2
25,3,520,1,1153.7,1186.5,1153.7,1153.7,466.9,480.2
25,3,701,1,662.3,648.4,662.3,662.3,268,262.4
25,3,705,1,394.8,424.3,394.8,394.8,159.8,171.7
