dir,state,date,tag,has_per_plot,has_ci_or_tables,n_files,mtime
GA_20260518_rcp45_wear_p2,GA,20260518,rcp45_wear_p2,no,no,0,2026-05-18
GA_20260518_rcp45_wear_p3,GA,20260518,rcp45_wear_p3,no,no,0,2026-05-18
GA_20260518_rcp85_wear_p2,GA,20260518,rcp85_wear_p2,no,no,0,2026-05-18
GA_20260518_rcp85_wear_p3,GA,20260518,rcp85_wear_p3,no,no,0,2026-05-18
GA_20260519_rcp45_wear_p3hindcast,GA,20260519,rcp45_wear_p3hindcast,yes,no,10,2026-05-20
GA_20260519_rcp45_wear_p3lite,GA,20260519,rcp45_wear_p3lite,no,no,9,2026-05-19
GA_20260519_rcp85_wear_p3hindcast,GA,20260519,rcp85_wear_p3hindcast,yes,no,10,2026-05-20
GA_20260519_rcp85_wear_p3lite,GA,20260519,rcp85_wear_p3lite,no,no,9,2026-05-19
GA_20260520_rcp45_wear_l7b,GA,20260520,rcp45_wear_l7b,no,no,0,2026-05-20
GA_20260520_rcp85_wear_l7b,GA,20260520,rcp85_wear_l7b,no,no,0,2026-05-20
GA_20260521_rcp45_wear_l7b,GA,20260521,rcp45_wear_l7b,no,no,0,2026-05-21
GA_20260521_rcp85_wear_l7b,GA,20260521,rcp85_wear_l7b,no,no,0,2026-05-21
GA_20260522_rcp45_wear_l7b,GA,20260522,rcp45_wear_l7b,yes,no,10,2026-05-23
GA_20260522_rcp85_wear_l7b,GA,20260522,rcp85_wear_l7b,yes,no,10,2026-05-23
GA_20260530_rcp45_wear_stateTerm_l7b,GA,20260530,rcp45_wear_stateTerm_l7b,yes,no,10,2026-05-30
GA_20260602_rcp45_wear_plantTerm40_l7b,GA,20260602,rcp45_wear_plantTerm40_l7b,yes,no,10,2026-06-02
GA_20260602_rcp45_wear_plantTerm_l7b,GA,20260602,rcp45_wear_plantTerm_l7b,yes,no,10,2026-06-02
GA_20260602_rcp45_wear_plantTerm_prod_l7b,GA,20260602,rcp45_wear_plantTerm_prod_l7b,no,no,0,2026-06-02
GA_20260602_rcp45_wear_prodW_l7b,GA,20260602,rcp45_wear_prodW_l7b,yes,no,10,2026-06-02
GA_20260602_rcp85_wear_plantTerm_prod_l7b,GA,20260602,rcp85_wear_plantTerm_prod_l7b,no,no,0,2026-06-02
GA_20260603_rcp45_wear_plantTerm_prod_l7b,GA,20260603,rcp45_wear_plantTerm_prod_l7b,yes,no,10,2026-06-03
GA_20260603_rcp85_wear_plantTerm_prod_l7b,GA,20260603,rcp85_wear_plantTerm_prod_l7b,yes,no,10,2026-06-03
GA_20260607_conus_harmonized_GA,GA,20260607,conus_harmonized_GA,no,no,0,2026-06-07
GA_20260608_conus_harmonized_GA,GA,20260608,conus_harmonized_GA,no,no,0,2026-06-08
GA_20260608_conus_harmonized_sdimax_GA,GA,20260608,conus_harmonized_sdimax_GA,no,no,0,2026-06-08
ga_bias_candidate_20260517,,20260517,ga_bias_candidate_20260517,no,no,4,2026-05-17
ga_donor_diagnostic_20260517,,20260517,ga_donor_diagnostic_20260517,no,no,5,2026-05-17
ga_l7b_residual_20260524,,20260524,ga_l7b_residual_20260524,no,no,4,2026-05-25
hindcast,,,hindcast,no,no,39,2026-06-04
IA_20260607_conus_harmonized_IA,IA,20260607,conus_harmonized_IA,yes,no,13,2026-06-07
ID_20260607_conus_harmonized_ID,ID,20260607,conus_harmonized_ID,yes,no,13,2026-06-07
IL_20260607_conus_harmonized_IL,IL,20260607,conus_harmonized_IL,no,no,0,2026-06-07
IL_20260608_conus_harmonized_IL,IL,20260608,conus_harmonized_IL,yes,no,13,2026-06-08
IL_20260608_conus_harmonized_sdimax_IL,IL,20260608,conus_harmonized_sdimax_IL,yes,no,13,2026-06-09
IL_20260608_fixsmoke_IL,IL,20260608,fixsmoke_IL,no,no,12,2026-06-08
IN_20260607_conus_harmonized_IN,IN,20260607,conus_harmonized_IN,no,no,0,2026-06-07
IN_20260608_conus_harmonized_IN,IN,20260608,conus_harmonized_IN,yes,no,13,2026-06-08
IN_20260608_conus_harmonized_sdimax_IN,IN,20260608,conus_harmonized_sdimax_IN,yes,no,13,2026-06-09
KS_20260607_conus_harmonized_KS,KS,20260607,conus_harmonized_KS,no,no,0,2026-06-07
KS_20260608_conus_harmonized_KS,KS,20260608,conus_harmonized_KS,yes,no,13,2026-06-08
KS_20260608_conus_harmonized_sdimax_KS,KS,20260608,conus_harmonized_sdimax_KS,yes,no,13,2026-06-08
KY_20260607_conus_harmonized_KY,KY,20260607,conus_harmonized_KY,no,no,0,2026-06-07
KY_20260608_conus_harmonized_KY,KY,20260608,conus_harmonized_KY,yes,no,13,2026-06-08
KY_20260608_conus_harmonized_sdimax_KY,KY,20260608,conus_harmonized_sdimax_KY,yes,no,13,2026-06-09
LA_20260607_conus_harmonized_LA,LA,20260607,conus_harmonized_LA,no,no,0,2026-06-07
LA_20260608_conus_harmonized_LA,LA,20260608,conus_harmonized_LA,yes,no,13,2026-06-08
LA_20260608_conus_harmonized_sdimax_LA,LA,20260608,conus_harmonized_sdimax_LA,no,no,0,2026-06-08
MA_20260607_conus_harmonized_MA,MA,20260607,conus_harmonized_MA,yes,no,13,2026-06-07
MD_20260607_conus_harmonized_MD,MD,20260607,conus_harmonized_MD,no,no,0,2026-06-07
MD_20260608_conus_harmonized_MD,MD,20260608,conus_harmonized_MD,yes,no,13,2026-06-08
MD_20260608_conus_harmonized_sdimax_MD,MD,20260608,conus_harmonized_sdimax_MD,yes,no,13,2026-06-08
ME_20260515_layer2_smoke,ME,20260515,layer2_smoke,no,no,12,2026-05-15
ME_20260515_layer2_smoke10,ME,20260515,layer2_smoke10,no,no,12,2026-05-15
ME_20260515_layer2_smoke10_20260515,ME,20260515,layer2_smoke10_20260515,no,no,12,2026-05-15
ME_20260516_layer3_smoke_20260515,ME,20260516,layer3_smoke_20260515,no,no,12,2026-05-16
ME_20260516_layer4_smoke_20260516,ME,20260516,layer4_smoke_20260516,no,no,12,2026-05-16
ME_20260517_layer7b_ecoregion_smoke_20260517,ME,20260517,layer7b_ecoregion_smoke_20260517,no,no,12,2026-05-17
ME_20260517_layer7_ecoregion_smoke_20260517,ME,20260517,layer7_ecoregion_smoke_20260517,no,no,0,2026-05-17
ME_20260518_us_l3_smoke,ME,20260518,us_l3_smoke,no,no,0,2026-05-18
ME_20260520_rcp45_hadgem2_wear_econ_l7b,ME,20260520,rcp45_hadgem2_wear_econ_l7b,yes,no,10,2026-05-20
ME_20260520_rcp85_hadgem2_wear_econ_l7b,ME,20260520,rcp85_hadgem2_wear_econ_l7b,yes,no,10,2026-05-20
ME_20260604_boot_dbg,ME,20260604,boot_dbg,no,no,9,2026-06-04
ME_20260604_rcp45_wear_econ_nosdimax_diag,ME,20260604,rcp45_wear_econ_nosdimax_diag,yes,no,10,2026-06-04
ME_20260604_rcp45_wear_econ_prodW_diag,ME,20260604,rcp45_wear_econ_prodW_diag,yes,no,10,2026-06-04
ME_20260604_retain_dbg,ME,20260604,retain_dbg,no,no,9,2026-06-04
ME_20260605_areafix_verify,ME,20260605,areafix_verify,yes,no,11,2026-06-06
ME_20260605_trace_dbg,ME,20260605,trace_dbg,yes,no,10,2026-06-05
ME_20260606_me_fixed_prod,ME,20260606,me_fixed_prod,yes,no,10,2026-06-06
ME_20260606_qmdrecon_smoke,ME,20260606,qmdrecon_smoke,yes,no,11,2026-06-06
ME_20260606_tpasat_smoke,ME,20260606,tpasat_smoke,yes,no,11,2026-06-06
ME_20260606_tpasat_verify,ME,20260606,tpasat_verify,no,no,0,2026-06-06
ME_20260607_conus_harmonized_ME,ME,20260607,conus_harmonized_ME,no,no,0,2026-06-07
ME_20260608_conus_harmonized_ME,ME,20260608,conus_harmonized_ME,no,no,0,2026-06-08
ME_20260608_conus_harmonized_sdimax_ME,ME,20260608,conus_harmonized_sdimax_ME,no,no,0,2026-06-08
ME_20260608_me_fixed_fiadb,ME,20260608,me_fixed_fiadb,yes,no,10,2026-06-08
ME_20260608_sdiguard_smoke,ME,20260608,sdiguard_smoke,yes,no,11,2026-06-09
MI_20260607_conus_harmonized_MI,MI,20260607,conus_harmonized_MI,no,no,0,2026-06-07
MI_20260608_conus_harmonized_MI,MI,20260608,conus_harmonized_MI,no,no,0,2026-06-08
MI_20260608_conus_harmonized_sdimax_MI,MI,20260608,conus_harmonized_sdimax_MI,no,no,0,2026-06-08
MN_20260518_rcp45_wear_p2,MN,20260518,rcp45_wear_p2,no,no,0,2026-05-18
MN_20260518_rcp85_wear_p2,MN,20260518,rcp85_wear_p2,no,no,0,2026-05-18
MN_20260519_rcp45_wear_p3,MN,20260519,rcp45_wear_p3,yes,no,10,2026-05-19
MN_20260519_rcp85_wear_p3,MN,20260519,rcp85_wear_p3,no,no,2,2026-05-19
MN_20260519_rcp85_wear_p3lite,MN,20260519,rcp85_wear_p3lite,no,no,9,2026-05-20
MN_20260520_rcp45_wear_l7b,MN,20260520,rcp45_wear_l7b,yes,no,10,2026-05-21
MN_20260520_rcp85_wear_l7b,MN,20260520,rcp85_wear_l7b,no,no,2,2026-05-20
MN_20260520_rcp85_wear_p3hindcast,MN,20260520,rcp85_wear_p3hindcast,yes,no,10,2026-05-20
MN_20260521_rcp85_wear_l7b,MN,20260521,rcp85_wear_l7b,yes,no,10,2026-05-22
MN_20260607_conus_harmonized_MN,MN,20260607,conus_harmonized_MN,no,no,0,2026-06-07
MN_20260608_conus_harmonized_MN,MN,20260608,conus_harmonized_MN,no,no,0,2026-06-08
MN_20260608_conus_harmonized_sdimax_MN,MN,20260608,conus_harmonized_sdimax_MN,no,no,0,2026-06-08
mn_donor_diagnostic_20260517,,20260517,mn_donor_diagnostic_20260517,no,no,4,2026-05-17
MO_20260607_conus_harmonized_MO,MO,20260607,conus_harmonized_MO,no,no,0,2026-06-07
MO_20260608_conus_harmonized_MO,MO,20260608,conus_harmonized_MO,yes,no,13,2026-06-08
MO_20260608_conus_harmonized_sdimax_MO,MO,20260608,conus_harmonized_sdimax_MO,no,no,0,2026-06-08
MS_20260607_conus_harmonized_MS,MS,20260607,conus_harmonized_MS,no,no,0,2026-06-07
MS_20260608_conus_harmonized_MS,MS,20260608,conus_harmonized_MS,no,no,0,2026-06-08
MS_20260608_conus_harmonized_sdimax_MS,MS,20260608,conus_harmonized_sdimax_MS,no,no,0,2026-06-08
MT_20260607_conus_harmonized_MT,MT,20260607,conus_harmonized_MT,yes,no,13,2026-06-07
multistate_donor_pool_20260517,,20260517,multistate_donor_pool_20260517,no,no,2,2026-05-17
multistate_growth_rate_20260517,,20260517,multistate_growth_rate_20260517,no,no,5,2026-05-17
multistate_sat_age_20260517,,20260517,multistate_sat_age_20260517,no,no,3,2026-05-17
NC_20260607_conus_harmonized_NC,NC,20260607,conus_harmonized_NC,no,no,0,2026-06-07
NC_20260608_conus_harmonized_NC,NC,20260608,conus_harmonized_NC,no,no,0,2026-06-08
NC_20260609_conus_harmonized_sdimax_NC,NC,20260609,conus_harmonized_sdimax_NC,no,no,0,2026-06-09
ND_20260607_conus_harmonized_ND,ND,20260607,conus_harmonized_ND,no,no,0,2026-06-07
ND_20260608_conus_harmonized_ND,ND,20260608,conus_harmonized_ND,yes,no,13,2026-06-08
ND_20260609_conus_harmonized_sdimax_ND,ND,20260609,conus_harmonized_sdimax_ND,yes,no,13,2026-06-09
NE_20260607_conus_harmonized_NE,NE,20260607,conus_harmonized_NE,no,no,0,2026-06-07
NE_20260608_conus_harmonized_NE,NE,20260608,conus_harmonized_NE,yes,no,13,2026-06-08
NE_20260609_conus_harmonized_sdimax_NE,NE,20260609,conus_harmonized_sdimax_NE,yes,no,13,2026-06-09
NH_20260607_conus_harmonized_NH,NH,20260607,conus_harmonized_NH,no,no,0,2026-06-07
NH_20260608_conus_harmonized_NH,NH,20260608,conus_harmonized_NH,no,no,0,2026-06-08
NH_20260609_conus_harmonized_sdimax_NH,NH,20260609,conus_harmonized_sdimax_NH,no,no,0,2026-06-09
NJ_20260607_conus_harmonized_NJ,NJ,20260607,conus_harmonized_NJ,no,no,0,2026-06-07
NJ_20260608_conus_harmonized_NJ,NJ,20260608,conus_harmonized_NJ,yes,no,13,2026-06-08
NJ_20260609_conus_harmonized_sdimax_NJ,NJ,20260609,conus_harmonized_sdimax_NJ,no,no,0,2026-06-09
NM_20260607_conus_harmonized_NM,NM,20260607,conus_harmonized_NM,no,no,0,2026-06-07
NM_20260608_conus_harmonized_NM,NM,20260608,conus_harmonized_NM,no,no,0,2026-06-08
NM_20260609_conus_harmonized_sdimax_NM,NM,20260609,conus_harmonized_sdimax_NM,no,no,0,2026-06-09
NV_20260607_conus_harmonized_NV,NV,20260607,conus_harmonized_NV,no,no,0,2026-06-07
NV_20260608_conus_harmonized_NV,NV,20260608,conus_harmonized_NV,yes,no,13,2026-06-08
NV_20260609_conus_harmonized_sdimax_NV,NV,20260609,conus_harmonized_sdimax_NV,yes,no,13,2026-06-09
NY_20260607_conus_harmonized_NY,NY,20260607,conus_harmonized_NY,no,no,0,2026-06-07
NY_20260608_conus_harmonized_NY,NY,20260608,conus_harmonized_NY,no,no,0,2026-06-08
NY_20260609_conus_harmonized_sdimax_NY,NY,20260609,conus_harmonized_sdimax_NY,no,no,0,2026-06-09
OH_20260607_conus_harmonized_OH,OH,20260607,conus_harmonized_OH,no,no,0,2026-06-07
OH_20260608_conus_harmonized_OH,OH,20260608,conus_harmonized_OH,yes,no,3,2026-06-08
OH_20260609_conus_harmonized_sdimax_OH,OH,20260609,conus_harmonized_sdimax_OH,no,no,0,2026-06-09
OK_20260607_conus_harmonized_OK,OK,20260607,conus_harmonized_OK,no,no,0,2026-06-07
OK_20260608_conus_harmonized_OK,OK,20260608,conus_harmonized_OK,no,no,0,2026-06-08
OR_20260607_conus_harmonized_OR,OR,20260607,conus_harmonized_OR,no,no,0,2026-06-07
OR_20260608_conus_harmonized_OR,OR,20260608,conus_harmonized_OR,no,no,0,2026-06-08
p1_summaries,,,p1_summaries,no,no,12,2026-05-15
PA_20260607_conus_harmonized_PA,PA,20260607,conus_harmonized_PA,no,no,0,2026-06-07
PA_20260608_conus_harmonized_PA,PA,20260608,conus_harmonized_PA,no,no,0,2026-06-08
RI_20260607_conus_harmonized_RI,RI,20260607,conus_harmonized_RI,yes,no,13,2026-06-07
SC_20260607_conus_harmonized_SC,SC,20260607,conus_harmonized_SC,no,no,0,2026-06-07
SC_20260608_conus_harmonized_SC,SC,20260608,conus_harmonized_SC,no,no,0,2026-06-08
SD_20260607_conus_harmonized_SD,SD,20260607,conus_harmonized_SD,no,no,0,2026-06-07
state_mmt_rounds,,,state_mmt_rounds,no,no,17,2026-04-17
state_mmt_v4,,,state_mmt_v4,no,no,9,2026-04-17
state_mmt_v5,,,state_mmt_v5,no,no,7,2026-04-17
state_summary_20260417,,20260417,state_summary_20260417,no,no,21,2026-04-18
state_summary_20260418,,20260418,state_summary_20260418,no,no,16,2026-04-18
state_summary_hindcast,,,state_summary_hindcast,no,no,3,2026-04-26
state_summary_progression,,,state_summary_progression,no,no,104,2026-06-09
subject_matched_cv,,,subject_matched_cv,no,no,1,2026-04-26
TN_20260607_conus_harmonized_TN,TN,20260607,conus_harmonized_TN,yes,no,13,2026-06-07
TX_20260607_conus_harmonized_TX,TX,20260607,conus_harmonized_TX,no,no,0,2026-06-07
UT_20260607_conus_harmonized_UT,UT,20260607,conus_harmonized_UT,no,no,0,2026-06-07
VA_20260607_conus_harmonized_VA,VA,20260607,conus_harmonized_VA,no,no,0,2026-06-07
VT_20260607_conus_harmonized_VT,VT,20260607,conus_harmonized_VT,no,no,0,2026-06-07
WA_20260518_rcp45_wear_p3,WA,20260518,rcp45_wear_p3,yes,no,10,2026-05-19
WA_20260518_rcp85_wear_p3,WA,20260518,rcp85_wear_p3,yes,no,10,2026-05-19
WA_20260520_rcp45_wear_l7b,WA,20260520,rcp45_wear_l7b,yes,no,10,2026-05-20
WA_20260520_rcp85_wear_l7b,WA,20260520,rcp85_wear_l7b,yes,no,10,2026-05-20
WA_20260521_conusCA_smoke,WA,20260521,conusCA_smoke,no,no,9,2026-05-21
WA_20260521_rcp45_wear_conusCA_l7b,WA,20260521,rcp45_wear_conusCA_l7b,yes,no,10,2026-05-21
WA_20260521_rcp45_wear_prodL7b,WA,20260521,rcp45_wear_prodL7b,yes,no,10,2026-05-21
WA_20260521_rcp45_wear_prodS_l7b,WA,20260521,rcp45_wear_prodS_l7b,yes,no,10,2026-05-21
WA_20260521_rcp85_wear_conusCA_l7b,WA,20260521,rcp85_wear_conusCA_l7b,yes,no,10,2026-05-21
WA_20260522_rcp45_wear_prodS_conusCA,WA,20260522,rcp45_wear_prodS_conusCA,yes,no,10,2026-05-22
WA_20260530_rcp45_wear_prodW30_l7b,WA,20260530,rcp45_wear_prodW30_l7b,yes,no,10,2026-05-30
WA_20260530_rcp45_wear_prodW_l7b,WA,20260530,rcp45_wear_prodW_l7b,yes,no,10,2026-05-30
WA_20260602_rcp45_test_asymanchor,WA,20260602,rcp45_test_asymanchor,yes,no,10,2026-06-02
WA_20260602_rcp45_wear_prodW100_asymanc_l7b,WA,20260602,rcp45_wear_prodW100_asymanc_l7b,yes,no,10,2026-06-03
WA_20260602_rcp45_wear_prodW100_l7b,WA,20260602,rcp45_wear_prodW100_l7b,yes,no,10,2026-06-02
WA_20260602_rcp45_wear_prodW100prod_l7b,WA,20260602,rcp45_wear_prodW100prod_l7b,yes,no,10,2026-06-02
WA_20260602_rcp45_wear_prodW75_l7b,WA,20260602,rcp45_wear_prodW75_l7b,yes,no,10,2026-06-02
WA_20260602_rcp85_wear_prodW100_asymanc_l7b,WA,20260602,rcp85_wear_prodW100_asymanc_l7b,yes,no,10,2026-06-03
WA_20260602_rcp85_wear_prodW100prod_l7b,WA,20260602,rcp85_wear_prodW100prod_l7b,yes,no,10,2026-06-02
WA_20260607_conus_harmonized_WA,WA,20260607,conus_harmonized_WA,no,no,0,2026-06-07
wa_donor_diagnostic_20260516,,20260516,wa_donor_diagnostic_20260516,no,no,4,2026-05-17
wa_westside_donor_20260517,,20260517,wa_westside_donor_20260517,no,no,4,2026-05-17
WI_20260607_conus_harmonized_WI,WI,20260607,conus_harmonized_WI,no,no,0,2026-06-07
WV_20260607_conus_harmonized_WV,WV,20260607,conus_harmonized_WV,no,no,0,2026-06-07
WY_20260607_conus_harmonized_WY,WY,20260607,conus_harmonized_WY,no,no,0,2026-06-07
