"stratum","treatment","P2","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P3","P30","P4","P5","P6","P7","P8","P9","P1","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19"
"Spruce-fir_ME_APH_Industrial","harvested",1.566,35.084,35.11,35.127,35.139,35.147,35.152,35.156,35.159,35.16,35.161,5.29,35.162,10.506,15.964,20.829,24.769,27.777,29.986,0.117,31.568,32.683,33.459,33.996,34.366,34.619,34.792,34.911,34.991,35.046
"Spruce-fir_ME_APH_Industrial","untreated",4.076,36.677,36.679,36.681,36.682,36.682,36.683,36.683,36.683,36.683,36.683,11.141,36.683,18.658,24.786,29.144,32.021,33.842,34.967,0.393,35.652,36.065,36.314,36.462,36.551,36.604,36.636,36.655,36.666,36.673
"Spruce-fir_ME_APH_NIPF","harvested",0.706,12.434,13.089,13.736,14.376,15.007,15.63,16.243,16.848,17.444,18.03,1.211,18.607,1.769,2.363,2.985,3.628,4.287,4.957,0.277,5.636,6.319,7.006,7.695,8.382,9.068,9.751,10.43,11.104,11.772
"Spruce-fir_ME_APH_NIPF","untreated",10.417,41.46,41.864,42.22,42.532,42.806,43.047,43.258,43.444,43.608,43.751,14.628,43.878,18.313,21.543,24.376,26.862,29.043,30.958,5.594,32.639,34.116,35.412,36.551,37.552,38.431,39.203,39.881,40.477,41
"Spruce-fir_ME_APH_Public-Other","untreated",9.918,49.017,49.454,49.83,50.154,50.434,50.674,50.881,51.059,51.212,51.344,14.987,51.457,19.631,23.802,27.505,30.767,33.627,36.124,4.614,38.298,40.187,41.825,43.244,44.472,45.533,46.449,47.24,47.922,48.51
"Spruce-fir_ME_NCZ_Industrial","untreated",6.117,42.836,42.838,42.838,42.839,42.839,42.839,42.839,42.839,42.839,42.839,15.584,42.839,24.742,31.6,36.123,38.913,40.573,41.54,0.646,42.098,42.417,42.599,42.702,42.761,42.795,42.814,42.825,42.831,42.834
"Spruce-fir_ME_NCZ_NIPF","untreated",2.671,41.177,41.189,41.198,41.203,41.207,41.209,41.21,41.211,41.212,41.212,8.334,41.213,15.501,22.333,27.929,32.124,35.108,37.161,0.219,38.544,39.464,40.071,40.469,40.728,40.898,41.008,41.08,41.127,41.157
"Spruce-fir_ME_NCZ_State","untreated",4.677,43.917,43.92,43.922,43.923,43.924,43.924,43.925,43.925,43.925,43.925,12.931,43.925,21.847,29.213,34.516,38.055,40.317,41.727,0.445,42.594,43.121,43.441,43.633,43.75,43.82,43.862,43.887,43.902,43.911
"Spruce-fir_ME_NH_Industrial","harvested",0.507,11.401,12.047,12.687,13.321,13.949,14.569,15.181,15.786,16.382,16.97,0.914,17.549,1.379,1.89,2.437,3.012,3.609,4.225,0.183,4.854,5.495,6.144,6.799,7.457,8.117,8.778,9.438,10.096,10.751
"Spruce-fir_ME_NH_Industrial","untreated",4.214,43.252,43.256,43.259,43.26,43.261,43.262,43.262,43.263,43.263,43.263,11.924,43.263,20.512,27.807,33.19,36.864,39.261,40.784,0.389,41.737,42.326,42.689,42.912,43.049,43.132,43.183,43.214,43.233,43.245
"Spruce-fir_ME_NH_NIPF","harvested",11.809,32.385,32.385,32.385,32.385,32.385,32.385,32.385,32.385,32.385,32.385,21.565,32.385,27.328,30.139,31.409,31.965,32.205,32.308,1.992,32.352,32.371,32.379,32.382,32.384,32.385,32.385,32.385,32.385,32.385
"Spruce-fir_ME_NH_NIPF","untreated",4.888,41.078,41.08,41.081,41.082,41.082,41.083,41.083,41.083,41.083,41.083,13.115,41.083,21.653,28.459,33.205,36.282,38.199,39.364,0.483,40.064,40.48,40.727,40.873,40.959,41.01,41.04,41.058,41.068,41.074
"Spruce-fir_ME_NH_State","untreated",4.523,43.604,43.608,43.61,43.611,43.612,43.612,43.613,43.613,43.613,43.613,12.591,43.613,21.388,28.717,34.032,37.603,39.9,41.34,0.426,42.229,42.773,43.105,43.305,43.427,43.501,43.545,43.572,43.588,43.598
"White/Red pine_ME_APH_Industrial","untreated",5.664,59.514,60.378,61.132,61.79,62.363,62.862,63.297,63.675,64.004,64.29,10.274,64.538,15.194,20.119,24.868,29.335,33.466,37.24,1.889,40.654,43.721,46.46,48.895,51.051,52.955,54.63,56.103,57.394,58.525
"White/Red pine_ME_APH_NIPF","harvested",2.424,37.468,37.479,37.487,37.492,37.495,37.497,37.498,37.499,37.5,37.5,7.568,37.501,14.083,20.299,25.391,29.213,31.931,33.803,0.199,35.064,35.904,36.457,36.821,37.058,37.213,37.314,37.379,37.422,37.45
"White/Red pine_ME_APH_NIPF","untreated",20.079,64.106,65.452,66.743,67.983,69.176,70.323,71.428,72.493,73.519,74.51,24.984,75.465,29.118,32.74,35.988,38.944,41.664,44.186,13.752,46.54,48.748,50.827,52.791,54.652,56.42,58.102,59.706,61.238,62.703
"White/Red pine_ME_NCZ_NIPF","untreated",1.289,64.363,64.554,64.695,64.799,64.876,64.933,64.975,65.006,65.029,65.046,5.027,65.058,11.294,19.049,27.117,34.655,41.218,46.666,0.081,51.04,54.47,57.115,59.131,60.653,61.795,62.648,63.283,63.755,64.104
