"prov","ft","n","n_dist","p_dist_ann","g_undist","g_dist","g_all","sev_frac","drag"
"9.3.3","Ponderosa pine",238,49,0.02214,0.337,0.07,0.282,0.1932,0.0763
"6.2.12","Western oak",57,12,0.02208,1.158,-1.746,0.547,2.2261,2.6219
"6.2.12","Fir/spruce/mtn hemlock",111,24,0.02201,1.681,-5.96,0.029,0.3492,1.2434
"8.4.3","Oak/pine",101,13,0.02185,0.747,1.409,0.832,-0.1127,-0.133
"8.3.4","Oak/gum/cypress",537,76,0.02177,1.155,0.42,1.051,0.098,0.1392
"8.3.6","Elm/ash/cottonwood",309,43,0.02161,1.159,0.861,1.118,-3.4659,-3.4035
"8.4.4","Loblolly/shortleaf pine",529,77,0.02147,1.583,0.461,1.42,0.141,0.1579
"8.5.1","Oak/gum/cypress",3484,539,0.02144,0.779,-1.097,0.488,0.3257,0.4773
"8.4.4","White/red/jack pine",272,38,0.02134,1.93,1.375,1.853,-0.0602,-0.0877
"9.4.6","Exotic hardwoods",229,55,0.02125,0.124,0.034,0.103,-0.3023,-0.0261
"9.2.2","Aspen/birch",323,34,0.02082,0.7,0.339,0.662,0.1272,0.0547
"6.2.8","California mixed conifer",69,14,0.02064,1.337,0.406,1.148,0.6217,0.762
"8.3.2","Maple/beech/birch",118,16,0.02055,0.905,1.868,1.036,-0.0706,-0.0912
"6.2.11","Western oak",125,25,0.02042,0.802,-0.37,0.568,0.4826,0.4212
"8.5.3","Oak/hickory",603,105,0.02041,0.282,0.255,0.278,-0.5818,-0.5207
"8.3.4","Loblolly/shortleaf pine",9341,1306,0.02037,2.297,1.542,2.191,0.1017,0.0847
"8.3.2","Oak/hickory",1543,178,0.02015,0.958,0.91,0.953,0.0217,0.0304
"6.2.9","Other western softwoods",327,67,0.02007,0.149,0.043,0.128,0.1231,0.032
"8.3.4","White/red/jack pine",60,8,0.01994,2.314,1.909,2.26,-0.0604,-0.0654
"8.3.8","Oak/pine",76,11,0.01918,0.506,-0.817,0.314,0.2581,0.1364
"8.3.1","Elm/ash/cottonwood",82,9,0.01914,0.884,0.35,0.825,0.0763,0.073
"6.2.11","Fir/spruce/mtn hemlock",58,11,0.01896,1.551,-5.012,0.306,0.2702,0.6648
"8.1.5","Maple/beech/birch",300,30,0.01884,1.096,0.33,1.019,0.6877,0.6951
"6.2.8","Ponderosa pine",780,147,0.01884,0.864,0.477,0.791,0.1536,0.1341
"6.2.12","California mixed conifer",495,87,0.01822,1.226,-2.321,0.602,0.2926,0.5955
"8.3.5","Elm/ash/cottonwood",1116,137,0.01788,0.899,-0.196,0.765,-1.2087,-1.0346
"8.2.3","Oak/hickory",145,14,0.01783,1.526,1.043,1.479,0.0881,0.1082
"8.4.1","Elm/ash/cottonwood",153,16,0.01773,0.895,0.356,0.838,-0.0038,-0.0029
"8.3.5","Loblolly/shortleaf pine",12633,1523,0.0177,2.436,2.002,2.384,0.6905,0.4399
"8.4.3","White/red/jack pine",49,5,0.01767,1.404,1.853,1.45,-0.0305,-0.0327
"8.1.6","Aspen/birch",45,4,0.01744,1.52,0.048,1.39,0.2433,0.1487
"5.2.1","Exotic softwoods",52,5,0.01733,1.478,-0.548,1.283,0.4085,0.2122
"8.4.5","Loblolly/shortleaf pine",283,28,0.01701,1.433,1.267,1.417,0.0168,0.0183
"6.2.11","Tanoak/laurel",161,27,0.01698,1.462,-3.806,0.579,0.4896,0.9226
"6.2.5","Douglas-fir",299,51,0.01688,1.706,-1.476,1.163,0.5112,0.9746
"9.3.3","Pinyon/juniper",181,26,0.01683,0.19,0.201,0.191,-0.0727,-0.0116
"8.4.4","Elm/ash/cottonwood",42,4,0.01679,1.219,-0.173,1.086,2.3148,2.0208
"8.3.7","Longleaf/slash pine",498,68,0.01669,1.517,1.745,1.548,-6.7182,-4.0436
"6.2.11","Woodland hardwoods",66,11,0.01666,0.984,-6.995,-0.346,0.5373,0.8132
"9.4.6","Pinyon/juniper",382,71,0.01642,0.249,-0.005,0.202,0.613,0.1015
"8.5.3","Elm/ash/cottonwood",179,21,0.01639,0.361,-0.17,0.298,-0.009,-0.0084
"8.1.4","Elm/ash/cottonwood",818,72,0.01638,0.81,0.419,0.776,0.1286,0.0797
"8.4.3","Loblolly/shortleaf pine",59,6,0.01628,1.286,1.526,1.311,-0.5028,-0.321
"8.3.4","Oak/pine",3806,418,0.01609,1.029,0.575,0.979,0.2634,0.1953
"10.2.4","Pinyon/juniper",69,12,0.016,0.048,-0.077,0.026,0.2058,0.0115
"8.1.5","Aspen/birch",107,9,0.01586,0.506,0.837,0.534,-0.2141,-0.1258
"8.5.1","Oak/hickory",1052,128,0.01583,0.654,-0.721,0.487,0.1198,0.103
"5.2.2","Elm/ash/cottonwood",318,25,0.01565,0.643,-0.491,0.554,0.3257,0.2015
"8.1.5","Oak/hickory",1283,105,0.01563,0.943,0.62,0.917,0.0365,0.0327
"8.3.3","Oak/gum/cypress",129,14,0.01552,1.365,1.87,1.42,0.3397,0.3379
"8.4.1","White/red/jack pine",113,10,0.0154,1.291,1.011,1.266,0.0624,0.0608
"6.2.7","Ponderosa pine",97,15,0.01539,1.791,-0.936,1.37,0.4693,0.4661
"8.4.8","Oak/gum/cypress",94,10,0.01532,1.101,1.373,1.13,-0.1699,-0.1146
"6.2.9","Ponderosa pine",762,117,0.01525,0.764,0.345,0.7,0.1046,0.0668
"8.4.4","Woodland hardwoods",85,8,0.01512,1.067,0.34,0.999,0.0459,0.057
"8.3.3","Maple/beech/birch",309,29,0.01511,0.865,0.87,0.866,-0.0014,-0.0014
"6.2.11","Ponderosa pine",81,12,0.01501,0.779,0.387,0.721,-0.0028,-0.0028
"8.5.4","Loblolly/shortleaf pine",261,20,0.01493,1.327,0.92,1.296,0.0729,0.0462
"10.1.2","Ponderosa pine",46,7,0.01493,0.625,-0.064,0.52,0.4121,0.1654
"6.2.10","Aspen/birch",94,13,0.01486,0.193,-1.331,-0.018,0.3489,0.1088
"8.1.8","Elm/ash/cottonwood",162,12,0.01474,0.577,-0.221,0.518,0.3309,0.1507
"8.4.2","Maple/beech/birch",774,66,0.01448,1.149,0.935,1.13,0.0212,0.0242
"8.3.5","Oak/gum/cypress",7909,815,0.01446,0.868,-0.264,0.751,0.022,0.0187
"5.2.1","Elm/ash/cottonwood",1955,146,0.0143,0.604,-0.047,0.555,0.2008,0.1132
"8.1.7","Elm/ash/cottonwood",206,16,0.01428,0.555,-1.347,0.407,0.2968,0.2082
"8.4.1","Maple/beech/birch",513,41,0.01428,1.2,1.135,1.195,0.0195,0.021
"8.3.4","Oak/hickory",9013,889,0.01422,1.088,0.651,1.045,-0.0089,-0.0075
"8.3.1","Oak/hickory",747,65,0.01405,1.239,-0.004,1.131,0.1298,0.1453
"8.3.5","Oak/pine",6661,679,0.01401,0.959,0.558,0.918,-0.002,-0.0011
"10.1.3","Other western softwoods",134,19,0.01384,0.138,0.09,0.131,-0.2168,-0.0319
"8.2.2","Elm/ash/cottonwood",128,9,0.01382,1.267,-0.27,1.159,0.2486,0.1591
"8.4.4","Oak/pine",867,79,0.01378,1.161,0.669,1.117,0.0464,0.0388
"8.4.1","Oak/pine",1063,95,0.01364,0.928,0.895,0.925,-0.2604,-0.1619
"8.5.3","Oak/gum/cypress",5252,526,0.01344,0.693,-0.039,0.62,0.1958,0.1557
"8.4.1","Oak/hickory",5075,428,0.01342,1.071,0.48,1.021,0.0711,0.0656
"6.2.8","Western oak",45,6,0.01321,0.317,0.224,0.305,1.1761,0.3921
"8.4.2","Woodland hardwoods",43,3,0.01297,1.352,1.814,1.384,-0.0312,-0.015
"6.2.5","Fir/spruce/mtn hemlock",250,32,0.01268,0.618,0.036,0.544,0.2241,0.2669
"10.2.4","Exotic hardwoods",241,30,0.01256,0.025,-0.001,0.022,0.2703,0.0044
"8.3.7","Elm/ash/cottonwood",521,43,0.01251,0.686,0.302,0.654,0.8176,0.3822
"8.4.7","Oak/hickory",1071,85,0.01246,0.639,0.134,0.599,0.6129,0.275
"8.4.4","Oak/hickory",3483,291,0.01242,1.29,0.723,1.243,0.0833,0.0812
"13.1.1","Douglas-fir",63,7,0.01235,-0.23,-2.857,-0.522,0.2501,0.1982
"13.1.1","Ponderosa pine",537,62,0.01218,0.433,-0.115,0.37,0.0926,0.0539
"8.3.3","Oak/pine",449,37,0.01214,0.894,1.196,0.919,-0.0728,-0.0346
"8.3.6","Loblolly/shortleaf pine",877,71,0.01213,2.937,2.718,2.92,0.1032,0.0609
"6.2.12","Ponderosa pine",162,19,0.01209,1.071,-0.023,0.943,0.0123,0.0079
"9.4.6","Oak/hickory",81,11,0.01196,0.108,-0.239,0.061,0.5407,0.0329
"8.4.6","Oak/hickory",1859,143,0.01193,0.752,-0.548,0.652,0.1185,0.072
"0.0.0","Maple/beech/birch",127,8,0.01192,0.527,-0.468,0.464,0.1992,0.1785
"8.4.9","Maple/beech/birch",40,3,0.01191,0.907,1.895,0.981,-0.0599,-0.058
"8.4.1","Oak/gum/cypress",57,5,0.0117,0.876,0.822,0.871,-0.4679,-0.2735
"8.3.3","Other eastern softwoods",258,20,0.0117,0.96,0.548,0.928,-8e-04,-3e-04
"9.5.1","Elm/ash/cottonwood",49,5,0.01144,0.606,0.183,0.563,0.217,0.0542
"6.2.7","Alder/maple",78,9,0.01141,1.868,-1.415,1.489,0.4882,0.3771
"8.4.1","Loblolly/shortleaf pine",1041,82,0.01141,1.913,1.541,1.884,0.0348,0.0144
"9.5.1","Oak/hickory",53,5,0.01113,0.164,-2.231,-0.061,0.4721,0.1672
"8.4.8","Loblolly/shortleaf pine",1668,119,0.01109,1.583,1.482,1.576,0.5499,0.2391
"8.1.5","Oak/pine",50,3,0.01105,1.459,-0.95,1.315,0.3554,0.1538
"8.4.2","Oak/pine",84,6,0.01102,1.395,1.01,1.367,0.6842,0.3325
"6.2.15","Ponderosa pine",116,13,0.01102,0.736,-0.427,0.606,0.2055,0.1131
"6.2.8","Fir/spruce/mtn hemlock",165,18,0.01099,1.184,0.226,1.079,0.0839,0.074
"6.2.11","Douglas-fir",422,46,0.01092,2.213,-0.823,1.882,0.6533,1.0298
"8.1.3","Aspen/birch",50,3,0.01085,0.737,1.243,0.767,-0.3936,-0.1377
"6.2.9","Douglas-fir",343,37,0.01076,0.826,-0.173,0.718,0.1922,0.1072
"9.5.1","Exotic hardwoods",69,8,0.01057,-0.015,0.033,-0.01,-0.7032,-0.0615
"8.1.4","Oak/hickory",1407,79,0.0105,1.001,1.154,1.01,-0.2803,-0.1669
"6.2.15","Douglas-fir",338,36,0.01049,0.276,-0.775,0.164,0.1958,0.0949
"12.1.1","Exotic hardwoods",343,37,0.01039,0.03,-0.218,0.003,0.1621,0.014
"6.2.9","Lodgepole pine",137,14,0.01024,1.058,-0.35,0.914,0.5215,0.1422
"8.4.2","Oak/hickory",2083,131,0.0101,1.199,0.786,1.173,0.0293,0.0219
"5.2.2","Aspen/birch",1361,69,0.01008,0.986,0.013,0.936,1.4242,0.3685
"8.3.3","Oak/hickory",3916,256,0.01002,1.202,0.9,1.183,0.0064,0.0043
"7.1.9","Douglas-fir",79,8,0.01,3.196,3.014,3.177,0.6182,0.465
"8.3.8","Loblolly/shortleaf pine",81,5,0.00993,2.194,1.051,2.124,0.1369,0.0416
"8.4.8","Oak/hickory",1261,82,0.00988,0.371,0.402,0.373,-0.1149,-0.0467
"6.2.8","Lodgepole pine",211,21,0.00985,0.952,0.673,0.924,-0.074,-0.0174
"6.2.3","Ponderosa pine",172,17,0.00977,1.01,-0.149,0.895,0.3813,0.1298
"8.1.3","White/red/jack pine",125,7,0.00968,1.273,2.07,1.318,-0.0725,-0.0564
"8.3.3","Loblolly/shortleaf pine",272,18,0.00963,2.611,1.202,2.517,0.0314,0.0144
"6.2.10","Pinyon/juniper",87,8,0.00961,0.148,0.112,0.144,0.2058,0.0194
"9.5.1","Oak/gum/cypress",117,9,0.00953,0.979,-0.227,0.886,0.0733,0.0341
"8.1.6","Maple/beech/birch",141,7,0.00945,1.898,-0.703,1.769,0.7305,0.4095
"8.3.8","Oak/hickory",509,34,0.00942,0.435,-1.415,0.311,0.3061,0.0986
"9.4.3","Exotic hardwoods",206,21,0.00924,0.087,-0.012,0.077,0.1164,0.0045
"8.1.1","Oak/hickory",93,5,0.00923,1.045,-0.037,0.987,0.073,0.0392
"6.2.14","Exotic hardwoods",249,22,0.00904,0.067,-0.125,0.05,0.1524,0.0144
"0.0.0","Aspen/birch",127,6,0.00903,0.219,0.79,0.246,-0.0307,-0.0125
"8.5.4","Oak/pine",87,4,0.00902,0.931,-1.588,0.815,0.1766,0.0831
"9.4.5","Exotic hardwoods",98,10,0.00886,0.334,-0.154,0.285,0.7105,0.0576
"8.1.1","Maple/beech/birch",375,19,0.00882,0.997,0.952,0.995,-0.0591,-0.029
"7.1.8","Alder/maple",193,17,0.00871,1.884,0.741,1.784,0.1157,0.0898
"8.1.4","Aspen/birch",806,37,0.00866,1.162,0.98,1.154,0.0615,0.016
"8.5.2","Elm/ash/cottonwood",1465,90,0.00854,0.853,0.631,0.84,-1.5103,-0.5734
"8.4.8","Oak/pine",865,50,0.00851,0.566,0.695,0.574,-0.0414,-0.0143
"8.1.3","Woodland hardwoods",63,3,0.00844,1.003,0.056,0.957,0.6495,0.1849
"8.3.5","Oak/hickory",7639,482,0.00841,0.367,0.186,0.355,-0.0988,-0.0397
"6.2.8","Douglas-fir",106,9,0.00839,1.413,-2.44,1.086,0.4453,0.2928
"8.4.4","Maple/beech/birch",203,11,0.00835,0.949,0.246,0.911,0.0759,0.053
"0.0.0","Elm/ash/cottonwood",70,3,0.00833,0.796,0.175,0.77,0.1386,0.0411
"6.2.12","Lodgepole pine",130,10,0.00813,0.232,0.115,0.223,0.0305,0.0206
"9.4.2","Exotic hardwoods",236,22,0.00809,0.27,0.012,0.246,0.5156,0.031
"8.4.7","Loblolly/shortleaf pine",385,19,0.0079,1.791,1.209,1.762,0.0767,0.0247
"8.3.8","Oak/gum/cypress",139,7,0.00777,0.874,-0.441,0.808,0.1704,0.0562
"8.5.2","Oak/gum/cypress",2388,137,0.00772,0.925,0.388,0.894,0.1328,0.0587
"5.2.1","Aspen/birch",8923,358,0.0077,1.042,0.506,1.02,0.2429,0.0661
"6.2.9","Fir/spruce/mtn hemlock",456,35,0.00766,1.007,-0.082,0.924,0.2574,0.1294
"8.5.2","Loblolly/shortleaf pine",102,5,0.00759,3.18,1.164,3.081,0.3337,0.0981
"5.2.1","Spruce/fir",5374,204,0.00727,0.545,0.192,0.532,0.1257,0.0284
"7.1.8","Tanoak/laurel",157,11,0.00721,2.493,-1.247,2.23,0.3207,0.2969
"8.3.7","Loblolly/shortleaf pine",7838,379,0.00715,2.167,1.521,2.136,0.0789,0.0237
"5.3.1","Aspen/birch",676,25,0.00705,0.98,0.206,0.951,0.4313,0.1323
"8.4.6","Loblolly/shortleaf pine",201,9,0.00702,1.74,-0.058,1.66,0.0692,0.0255
"6.2.9","Western larch",57,4,0.00701,0.84,-1.826,0.653,0.1611,0.076
"8.1.4","Maple/beech/birch",888,33,0.00691,1.189,0.675,1.17,0.2717,0.1173
"5.3.1","Maple/beech/birch",4947,184,0.00687,1.002,0.556,0.985,0.0198,0.0082
"5.3.1","Spruce/fir",2335,84,0.00686,1.111,0.656,1.095,0.1726,0.0497
"8.2.2","Oak/hickory",84,3,0.00685,1.267,-0.048,1.22,0.1813,0.0824
"8.1.1","Oak/pine",50,2,0.00682,1.45,0.329,1.405,0.2056,0.0941
"6.2.7","Douglas-fir",1685,114,0.00675,2.389,-0.52,2.192,0.1096,0.1138
"6.2.5","Hemlock/Sitka spruce",178,12,0.00673,1.436,0.565,1.377,0.0063,0.0065
"5.2.1","Oak/hickory",2065,74,0.00671,1.021,-0.168,0.979,0.7556,0.2939
"13.1.1","Exotic hardwoods",300,19,0.0067,0.103,-2.596,-0.068,0.4813,0.0601
"6.2.3","Western larch",150,10,0.00657,1.1,-0.596,0.987,0.3908,0.1485
"7.1.8","Hemlock/Sitka spruce",229,15,0.00654,1.913,1.843,1.908,0.0046,0.0045
"9.4.5","Pinyon/juniper",94,7,0.00652,0.547,0.023,0.508,1.4777,0.1589
"5.2.1","Oak/pine",845,29,0.00648,1.032,0.35,1.009,0.1537,0.0422
"6.2.15","Fir/spruce/mtn hemlock",352,22,0.0062,0.222,-1.724,0.1,0.344,0.1245
"8.4.7","Other eastern softwoods",84,3,0.00619,1.034,1.328,1.045,-0.0701,-0.0119
"6.2.3","Douglas-fir",702,44,0.00616,1.005,-0.46,0.913,0.2677,0.0926
"6.2.15","Lodgepole pine",146,9,0.00609,0.167,-1.947,0.037,0.6857,0.1165
"12.1.1","Pinyon/juniper",95,6,0.00609,0.011,-0.132,0.002,0.2167,0.01
"8.1.7","White/red/jack pine",238,8,0.00609,1.501,-0.024,1.45,0.2586,0.1365
"8.4.7","Oak/pine",397,16,0.00608,0.858,0.761,0.854,-0.0474,-0.0106
"8.4.6","Oak/pine",163,7,0.00605,1.043,0.297,1.011,0.0698,0.0173
"8.1.6","Oak/hickory",504,16,0.00603,1.772,-1.573,1.666,0.2494,0.1119
"8.3.5","Other eastern softwoods",72,3,0.00603,1.156,0.833,1.143,0.0173,0.0022
"6.2.14","Ponderosa pine",290,16,0.00599,0.256,-0.396,0.22,0.1123,0.0238
"6.2.14","Aspen/birch",321,19,0.00596,-0.091,-1.795,-0.192,0.2923,0.0752
"8.3.6","Oak/gum/cypress",559,24,0.00593,1.103,0.264,1.067,0.082,0.0299
"8.5.4","Oak/hickory",100,3,0.00593,0.914,5.506,1.052,-0.8967,-0.3152
"9.4.3","Pinyon/juniper",373,21,0.00588,0.057,-0.049,0.051,0.0964,0.0043
"9.6.1","Exotic hardwoods",270,18,0.00581,0.153,-0.145,0.133,0.8054,0.0265
"8.3.7","Oak/gum/cypress",2619,106,0.00577,0.795,0.341,0.777,-0.8687,-0.2684
"7.1.7","Douglas-fir",103,6,0.00575,2.868,2.523,2.848,0.1377,0.0755
"8.5.2","Oak/pine",52,2,0.00556,1.526,-0.206,1.459,0.7663,0.1688
"0.0.0","Spruce/fir",167,5,0.00556,0.536,0.19,0.525,0.1104,0.0278
"8.1.5","White/red/jack pine",99,3,0.00556,1.947,1.16,1.924,0.7165,0.1405
"8.3.8","Elm/ash/cottonwood",153,6,0.00555,0.766,0.122,0.741,0.3291,0.0533
"6.2.3","Hemlock/Sitka spruce",160,9,0.00554,1.264,0.285,1.209,0.1774,0.0867
"6.2.7","Hemlock/Sitka spruce",252,14,0.00554,1.405,-1.119,1.265,0.0684,0.0643
"10.1.5","Exotic hardwoods",147,8,0.00552,0.042,-0.141,0.032,1.2468,0.1216
"8.1.7","Oak/hickory",714,21,0.00538,1.29,-0.5,1.237,0.1184,0.0501
"13.1.1","Fir/spruce/mtn hemlock",42,2,0.00532,0.061,-0.173,0.05,0.0328,0.0101
"6.2.4","Fir/spruce/mtn hemlock",235,13,0.0053,0.412,-1.122,0.327,0.695,0.1621
"8.1.8","Maple/beech/birch",1755,46,0.00527,1.153,1.117,1.152,0.0246,0.0057
"6.2.7","Fir/spruce/mtn hemlock",461,24,0.00521,1.393,-1.892,1.222,-0.2179,-0.1278
"6.2.3","Lodgepole pine",152,8,0.0052,0.909,0.89,0.908,-0.1885,-0.0437
"8.1.3","Oak/pine",66,2,0.00512,1.214,0.961,1.206,0.1088,0.0373
"8.2.1","Oak/hickory",217,6,0.00502,0.954,0.524,0.942,0.0805,0.0241
"6.2.14","Other western softwoods",42,2,0.00489,0.08,0.114,0.082,-0.0074,-0.0011
"5.3.1","Oak/hickory",451,12,0.00486,1.391,2.946,1.433,-0.0689,-0.0278
"10.2.2","Exotic hardwoods",60,3,0.00483,0.103,0.072,0.101,0.1319,0.004
"8.1.3","Maple/beech/birch",1065,29,0.00481,1.337,1.275,1.335,-0.0541,-0.0178
"9.5.1","Loblolly/shortleaf pine",86,3,0.00478,1.781,0.032,1.72,0.1437,0.0323
"7.1.8","Douglas-fir",1015,47,0.00462,3.14,2.564,3.113,-0.0954,-0.0584
"5.3.3","White/red/jack pine",74,2,0.00462,0.963,2.066,0.993,-0.0901,-0.0319
"5.3.1","Oak/pine",237,6,0.00456,1.511,0.17,1.477,1.7909,0.5762
"8.4.9","Oak/hickory",2240,72,0.00451,0.885,1.034,0.89,-0.0097,-0.0026
"6.2.7","Lodgepole pine",67,3,0.00449,0.729,-0.019,0.695,0.1043,0.0206
