FORTYPCD,MEANING,TYPGRPCD,mn_n,mn_area_ha,mn_pct,donor_n,donor_area_ha,donor_pct,gap_pct
519,Red maple / oak,500,26,8.126954028378,0.0019946584201065,379,111.769370024424,0.00980757478173419,-0.00781291636162769
702,River birch / sycamore,700,20,6.231685251776,0.00152948859012918,91,26.201201630092,0.00229911150346709,-0.000769622913337912
708,Red maple / lowland,700,19,5.046739553244,0.00123865860552576,540,146.82126045969,0.0128833193851967,-0.0116446607796709
171,Eastern redcedar,170,13,4.117488228836,0.00101058558183776,53,15.022823297992,0.00131822755103334,-0.000307641969195572
504,White oak,500,14,2.791542643556,0.000685148952438046,529,158.86135287903,0.013939817303686,-0.013254668351248
402,Eastern redcedar / hardwood,400,7,2.611269599252,0.000640903206186301,45,12.591685912316,0.00110489932247236,-0.000463996116286054
905,Pin cherry,900,8,2.407485512406,0.000590886970916392,34,11.034967326164,0.000968299877163995,-0.000377412906247602
705,Sycamore / pecan / American elm,700,10,2.249814181202,0.000552188530234031,159,42.938648349262,0.00376779438427496,-0.00321560585404093
709,Cottonwood / willow,700,6,1.748910037842,0.000429247922506899,56,14.452944472792,0.00126822163981227,-0.000838973717305371
381,Scotch pine,380,7,1.557956925312,0.0003823808881391,197,45.275764227186,0.00397287238320534,-0.00359049149506624
512,Black walnut,500,9,1.174053979528,0.000288156749471913,147,29.82356948788,0.0026169682082552,-0.00232881145878329
995,Other exotic hardwoods,990,7,1.162900428682,0.000285419251015373,43,10.297839870884,0.000903618179130372,-0.000618198928114999
516,Cherry / white ash / yellow-poplar,500,4,1.142860782648,0.000280500772510622,249,73.583255720464,0.00645680728990617,-0.00617630651739555
802,Black cherry,800,2,0.580985027784,0.000142595451331285,330,74.203220508454,0.0065112081603676,-0.00636861270903631
900,Aspen / birch group,900,9,0.538021133908,0.000132050505170512,16,1.164236297168,0.000102159782645186,2.98907225253263e-05
513,Black locust,500,2,0.420093610078,0.000103106681008538,78,19.227626578188,0.00168719198739002,-0.00158408530638148
700,Elm / ash / cottonwood group,700,5,0.337435685206,8.28193353118903e-05,21,1.929778375252,0.000169334816178365,-8.65154808664746e-05
500,Oak / hickory group,500,4,0.174835683208,4.29112145126176e-05,34,1.886480615426,0.000165535510364238,-0.000122624295851621
128,Fraser fir,120,1,0.1011715,2.48312693347524e-05,,,0,2.48312693347524e-05
800,Maple / beech / birch group,800,1,0.022645823874,5.55813200281364e-06,45,2.851967524274,0.000250255367488269,-0.000244697235485456
104,,,,,0,37,10.968747341926,0.000962489184598424,-0.000962489184598424
105,,,,,0,192,56.230349987228,0.0049341189127425,-0.0049341189127425
161,,,,,0,1,0.3035145,2.66328883793492e-05,-2.66328883793492e-05
162,,,,,0,30,7.771010028962,0.000681893098010632,-0.000681893098010632
182,,,,,0,42,11.737672999656,0.00102996112157126,-0.00102996112157126
201,,,,,0,4,1.340359691228,0.000117614315113954,-0.000117614315113954
221,,,,,0,372,130.600586026626,0.0114599824058644,-0.0114599824058644
269,,,,,0,14,3.952776170604,0.000346849480140974,-0.000346849480140974
380,,,,,0,6,0.321901813096,2.8246344267888e-05,-2.8246344267888e-05
383,,,,,0,11,3.348581186662,0.000293832383538703,-0.000293832383538703
384,,,,,0,16,3.65823801077,0.000321004250557815,-0.000321004250557815
385,,,,,0,5,1.618744,0.000142042071356529,-0.000142042071356529
400,,,,,0,11,0.925393857456,8.12017591006724e-05,-8.12017591006724e-05
404,,,,,0,6,1.944197742118,0.000170600091439491,-0.000170600091439491
406,,,,,0,1,0.404686,3.55105178391323e-05,-3.55105178391323e-05
501,,,,,0,24,6.541687273042,0.000574022087760344,-0.000574022087760344
502,,,,,0,1,0.404686,3.55105178391323e-05,-3.55105178391323e-05
506,,,,,0,24,9.054320730084,0.000794501459914286,-0.000794501459914286
507,,,,,0,81,20.009878545898,0.0017558332857153,-0.0017558332857153
508,,,,,0,20,6.230325506816,0.000546700614929576,-0.000546700614929576
511,,,,,0,18,3.476767095906,0.00030508048210632,-0.00030508048210632
515,,,,,0,147,38.00316790394,0.00333471425202849,-0.00333471425202849
602,,,,,0,1,0.0638796851,5.60533524090703e-06,-5.60533524090703e-06
605,,,,,0,8,2.618139953474,0.000229737390280819,-0.000229737390280819
607,,,,,0,5,1.7199155,0.000150919700816312,-0.000150919700816312
608,,,,,0,24,8.986086623624,0.00078851403150143,-0.00078851403150143
