us_l3code,TYPGRPCD,hcb_class,STATECD,n_self_state,n_donor_total,n_other_state_donors
50,120,30,27,1,1,0
50,700,40,27,1,1,0
50,800,40,27,1,1,0
50,900,20,27,1,1,0
51,100,30,27,1,1,0
51,500,40,27,1,1,0
51,800,40,27,1,1,0
51,900,40,27,1,1,0
52,500,40,27,1,1,0
-1,200,10,53,1150,4788,3638
-1,260,10,53,763,4968,4205
-1,200,40,53,583,2809,2226
-1,300,10,53,402,1119,717
-1,200,30,53,256,563,307
-1,910,40,53,208,549,341
-1,300,40,53,181,581,400
-1,220,40,53,172,1837,1665
-1,220,10,53,170,3813,3643
-1,280,10,53,148,2187,2039
-1,999,10,53,126,1191,1065
-1,300,30,53,97,293,196
15,200,40,53,93,93,0
-1,260,40,53,88,648,560
-1,320,10,53,81,256,175
-1,260,20,53,78,376,298
1,200,40,53,78,78,0
-1,910,30,53,69,135,66
-1,910,10,53,68,181,113
-1,300,20,53,62,93,31
-1,999,40,53,61,2878,2817
-1,200,20,53,60,466,406
1,300,40,53,59,59,0
2,200,40,53,58,58,0
4,200,40,53,52,52,0
15,220,40,53,49,49,0
-1,220,30,53,42,182,140
2,910,40,53,32,32,0
-1,260,30,53,31,151,120
-1,360,10,53,31,790,759
1,910,40,53,28,28,0
-1,280,40,53,25,259,234
-1,920,40,53,25,1030,1005
4,200,30,53,25,25,0
9,220,40,53,24,24,0
1,300,30,53,22,22,0
77,200,40,53,21,21,0
-1,700,40,53,20,9902,9882
10,220,40,53,20,20,0
1,200,30,53,19,19,0
9,200,40,53,19,19,0
-1,280,30,53,15,57,42
-1,900,40,53,15,7758,7743
-1,960,30,53,15,247,232
2,300,40,53,15,15,0
-1,999,30,53,14,492,478
-1,320,40,53,13,50,37
-1,700,10,53,13,377,364
-1,900,10,53,13,2478,2465
-1,960,40,53,13,905,892
2,200,30,53,13,13,0
15,200,30,53,13,13,0
77,200,30,53,13,13,0
77,910,40,53,13,13,0
-1,220,20,53,12,212,200
-1,970,10,53,12,1123,1111
4,300,40,53,11,11,0
4,910,40,53,11,11,0
9,260,40,53,11,11,0
15,280,40,53,10,10,0
15,300,40,53,10,10,0
77,300,40,53,10,10,0
-1,320,30,53,9,24,15
-1,700,30,53,9,1707,1698
-1,910,20,53,9,26,17
-1,960,10,53,9,182,173
-1,970,40,53,9,2476,2467
9,200,30,53,9,9,0
77,260,10,53,9,9,0
77,300,30,53,9,9,0
2,910,30,53,8,8,0
9,220,30,53,8,8,0
10,200,40,53,8,8,0
-1,700,20,53,7,446,439
1,910,30,53,7,7,0
2,700,40,53,7,7,0
9,920,40,53,7,7,0
15,260,40,53,7,7,0
77,220,40,53,7,7,0
77,260,30,53,7,7,0
-1,280,20,53,6,309,303
2,999,40,53,6,6,0
4,260,40,53,6,6,0
4,300,30,53,6,6,0
4,910,30,53,6,6,0
77,220,30,53,6,6,0
1,999,40,53,5,5,0
15,200,20,53,5,5,0
15,220,30,53,5,5,0
77,910,30,53,5,5,0
-1,360,40,53,4,484,480
2,260,40,53,4,4,0
15,999,40,53,4,4,0
77,200,10,53,4,4,0
77,260,40,53,4,4,0
-1,240,10,53,3,42,39
1,960,40,53,3,3,0
2,200,20,53,3,3,0
4,260,30,53,3,3,0
9,260,30,53,3,3,0
9,280,30,53,3,3,0
10,220,20,53,3,3,0
11,260,40,53,3,3,0
15,320,40,53,3,3,0
77,300,10,53,3,3,0
77,900,40,53,3,3,0
77,999,40,53,3,3,0
-1,360,30,53,2,54,52
-1,900,30,53,2,4120,4118
-1,920,20,53,2,136,134
-1,920,30,53,2,100,98
-1,960,20,53,2,60,58
-1,999,20,53,2,454,452
1,700,40,53,2,2,0
2,280,40,53,2,2,0
3,910,40,53,2,2,0
10,220,30,53,2,2,0
10,260,40,53,2,2,0
10,920,40,53,2,2,0
10,999,40,53,2,2,0
11,220,40,53,2,2,0
15,900,40,53,2,2,0
77,999,30,53,2,2,0
-1,240,20,53,1,4,3
-1,320,20,53,1,6,5
-1,970,30,53,1,331,330
1,240,40,53,1,1,0
1,260,30,53,1,1,0
1,260,40,53,1,1,0
1,280,40,53,1,1,0
1,300,20,53,1,1,0
1,999,30,53,1,1,0
2,300,20,53,1,1,0
2,700,30,53,1,1,0
2,920,40,53,1,1,0
3,700,20,53,1,1,0
4,700,30,53,1,1,0
4,999,40,53,1,1,0
9,200,20,53,1,1,0
9,280,40,53,1,1,0
9,360,40,53,1,1,0
9,900,40,53,1,1,0
10,700,40,53,1,1,0
10,900,30,53,1,1,0
10,999,30,53,1,1,0
11,200,40,53,1,1,0
11,320,40,53,1,1,0
15,220,20,53,1,1,0
15,260,10,53,1,1,0
15,260,20,53,1,1,0
15,260,30,53,1,1,0
15,280,30,53,1,1,0
15,300,30,53,1,1,0
15,320,20,53,1,1,0
15,320,30,53,1,1,0
15,700,20,53,1,1,0
15,700,40,53,1,1,0
15,900,30,53,1,1,0
15,960,30,53,1,1,0
15,960,40,53,1,1,0
15,999,30,53,1,1,0
77,280,30,53,1,1,0
77,280,40,53,1,1,0
77,320,30,53,1,1,0
77,320,40,53,1,1,0
77,700,40,53,1,1,0
