TYPGRPCD,area_ha,pct_area,source,state,side,GROUP_NAME
220,896.894719218388,0.164176616528614,WA_donor,WA,donor,Ponderosa pine group
240,1.6494596674,0.000821819439309759,WA_subject,WA,subject,Western white pine group
240,5.06321674842,0.000926822041310513,WA_donor,WA,donor,Western white pine group
260,0.230576323476,5.12876168082391e-05,ME_donor,ME,donor,Fir / spruce / mountain hemlock group
260,3.952776170604,0.000346849480140974,MN_donor,MN,donor,Fir / spruce / mountain hemlock group
260,318.741198034502,0.158808195090054,WA_subject,WA,subject,Fir / spruce / mountain hemlock group
260,875.258675135936,0.160216137738398,WA_donor,WA,donor,Fir / spruce / mountain hemlock group
280,68.89059213606,0.0343237418422094,WA_subject,WA,subject,Lodgepole pine group
280,541.641866429662,0.0991475667045517,WA_donor,WA,donor,Lodgepole pine group
300,282.595499211334,0.140799123072465,WA_subject,WA,subject,Hemlock / Sitka spruce group
300,160.433565273378,0.0293673709520328,WA_donor,WA,donor,Hemlock / Sitka spruce group
320,36.99807154347,0.0184337544059653,WA_subject,WA,subject,Western larch group
320,73.822681312702,0.0135132449565002,WA_donor,WA,donor,Western larch group
340,0.136783868,2.50382928595084e-05,WA_donor,WA,donor,Redwood group
360,9.946961730816,0.00495592991694077,WA_subject,WA,subject,Other western softwoods group
360,421.74739786217,0.0772008791300493,WA_donor,WA,donor,Other western softwoods group
380,2.94351801931,0.00121728517586868,ME_subject,ME,subject,Exotic softwoods group
380,33.589794720262,0.00747145454619725,ME_donor,ME,donor,Exotic softwoods group
380,1.557956925312,0.0003823808881391,MN_subject,MN,subject,Exotic softwoods group
380,54.223229237714,0.00475799743292627,MN_donor,MN,donor,Exotic softwoods group
380,0.10926522,2.00010031717966e-05,WA_donor,WA,donor,Exotic softwoods group
390,0.7082005,0.000157526650264176,ME_donor,ME,donor,Other softwoods group
400,51.5978292174,0.0213381648086762,ME_subject,ME,subject,Oak / pine group
400,156.800369232288,0.0348774632683093,ME_donor,ME,donor,Oak / pine group
