"forest_type","ecoregion","owner","treatment","period","age_yr","AGB_tonac","AGB_MgHa","Vol_m3Ha","Carbon_MgHa","Carbon_tonac"
"Aspenbirch","ME_NH","Industrial","untreated",15,75,43.949,98.5,118.3,44.3,19.777
"Aspenbirch","ME_NH","Industrial","untreated",16,80,44.024,98.7,119.9,44.4,19.811
"Aspenbirch","ME_NH","Industrial","untreated",17,85,44.071,98.8,121.2,44.5,19.832
"Aspenbirch","ME_NH","Industrial","untreated",18,90,44.1,98.9,122.1,44.5,19.845
"Aspenbirch","ME_NH","Industrial","untreated",19,95,44.119,98.9,122.8,44.5,19.854
"Aspenbirch","ME_NH","Industrial","untreated",20,100,44.13,98.9,123.3,44.5,19.859
"Aspenbirch","ME_NH","Industrial","untreated",21,105,44.138,98.9,123.7,44.5,19.862
"Aspenbirch","ME_NH","Industrial","untreated",22,110,44.142,99,123.9,44.6,19.864
"Aspenbirch","ME_NH","Industrial","untreated",23,115,44.145,99,124.1,44.6,19.865
"Aspenbirch","ME_NH","Industrial","untreated",24,120,44.147,99,124.3,44.6,19.866
"Aspenbirch","ME_NH","Industrial","untreated",25,125,44.148,99,124.4,44.6,19.867
"Aspenbirch","ME_NH","Industrial","untreated",26,130,44.149,99,124.5,44.6,19.867
"Aspenbirch","ME_NH","Industrial","untreated",27,135,44.149,99,124.6,44.6,19.867
"Aspenbirch","ME_NH","Industrial","untreated",28,140,44.15,99,124.6,44.6,19.868
"Aspenbirch","ME_NH","Industrial","untreated",29,145,44.15,99,124.6,44.6,19.868
"Aspenbirch","ME_NH","Industrial","untreated",30,150,44.15,99,124.7,44.6,19.868
"Aspenbirch","ME_NH","NIPF","untreated",1,5,2.696,6,0.3,2.7,1.213
"Aspenbirch","ME_NH","NIPF","untreated",2,10,8.094,18.1,3.2,8.1,3.642
"Aspenbirch","ME_NH","NIPF","untreated",3,15,14.102,31.6,10.2,14.2,6.346
"Aspenbirch","ME_NH","NIPF","untreated",4,20,19.787,44.4,20.8,20,8.904
"Aspenbirch","ME_NH","NIPF","untreated",5,25,24.775,55.5,33.8,25,11.149
"Aspenbirch","ME_NH","NIPF","untreated",6,30,28.969,64.9,47.8,29.2,13.036
"Aspenbirch","ME_NH","NIPF","untreated",7,35,32.401,72.6,61.5,32.7,14.58
"Aspenbirch","ME_NH","NIPF","untreated",8,40,35.161,78.8,74.3,35.5,15.822
"Aspenbirch","ME_NH","NIPF","untreated",9,45,37.353,83.7,85.8,37.7,16.809
"Aspenbirch","ME_NH","NIPF","untreated",10,50,39.078,87.6,95.8,39.4,17.585
"Aspenbirch","ME_NH","NIPF","untreated",11,55,40.428,90.6,104.3,40.8,18.193
"Aspenbirch","ME_NH","NIPF","untreated",12,60,41.479,93,111.4,41.9,18.666
"Aspenbirch","ME_NH","NIPF","untreated",13,65,42.295,94.8,117.3,42.7,19.033
"Aspenbirch","ME_NH","NIPF","untreated",14,70,42.926,96.2,122.1,43.3,19.317
"Aspenbirch","ME_NH","NIPF","untreated",15,75,43.413,97.3,126.1,43.8,19.536
"Aspenbirch","ME_NH","NIPF","untreated",16,80,43.789,98.2,129.2,44.2,19.705
"Aspenbirch","ME_NH","NIPF","untreated",17,85,44.079,98.8,131.8,44.5,19.836
"Aspenbirch","ME_NH","NIPF","untreated",18,90,44.301,99.3,133.8,44.7,19.935
"Aspenbirch","ME_NH","NIPF","untreated",19,95,44.473,99.7,135.5,44.9,20.013
"Aspenbirch","ME_NH","NIPF","untreated",20,100,44.605,100,136.8,45,20.072
"Aspenbirch","ME_NH","NIPF","untreated",21,105,44.706,100.2,137.9,45.1,20.118
"Aspenbirch","ME_NH","NIPF","untreated",22,110,44.784,100.4,138.7,45.2,20.153
"Aspenbirch","ME_NH","NIPF","untreated",23,115,44.843,100.5,139.3,45.2,20.179
"Aspenbirch","ME_NH","NIPF","untreated",24,120,44.889,100.6,139.9,45.3,20.2
"Aspenbirch","ME_NH","NIPF","untreated",25,125,44.925,100.7,140.3,45.3,20.216
"Aspenbirch","ME_NH","NIPF","untreated",26,130,44.952,100.8,140.6,45.4,20.228
"Aspenbirch","ME_NH","NIPF","untreated",27,135,44.972,100.8,140.9,45.4,20.237
"Aspenbirch","ME_NH","NIPF","untreated",28,140,44.988,100.8,141.1,45.4,20.245
"Aspenbirch","ME_NH","NIPF","untreated",29,145,45.001,100.9,141.3,45.4,20.25
"Aspenbirch","ME_NH","NIPF","untreated",30,150,45.01,100.9,141.4,45.4,20.254
"Mixedwood","ME_APH","NIPF","untreated",1,5,0.078,0.2,0.2,0.1,0.035
"Mixedwood","ME_APH","NIPF","untreated",2,10,1.15,2.6,2.6,1.2,0.517
"Mixedwood","ME_APH","NIPF","untreated",3,15,4.231,9.5,9.7,4.3,1.904
"Mixedwood","ME_APH","NIPF","untreated",4,20,9.035,20.3,20.5,9.1,4.066
"Mixedwood","ME_APH","NIPF","untreated",5,25,14.588,32.7,32.9,14.7,6.565
"Mixedwood","ME_APH","NIPF","untreated",6,30,20.012,44.9,44.9,20.2,9.005
"Mixedwood","ME_APH","NIPF","untreated",7,35,24.791,55.6,55.4,25,11.156
"Mixedwood","ME_APH","NIPF","untreated",8,40,28.732,64.4,64,29,12.929
"Mixedwood","ME_APH","NIPF","untreated",9,45,31.842,71.4,70.8,32.1,14.329
"Mixedwood","ME_APH","NIPF","untreated",10,50,34.225,76.7,75.9,34.5,15.401
"Mixedwood","ME_APH","NIPF","untreated",11,55,36.012,80.7,79.7,36.3,16.205
"Mixedwood","ME_APH","NIPF","untreated",12,60,37.334,83.7,82.5,37.7,16.8
"Mixedwood","ME_APH","NIPF","untreated",13,65,38.302,85.9,84.6,38.7,17.236
"Mixedwood","ME_APH","NIPF","untreated",14,70,39.005,87.4,86.1,39.3,17.552
"Mixedwood","ME_APH","NIPF","untreated",15,75,39.514,88.6,87.1,39.9,17.781
"Mixedwood","ME_APH","NIPF","untreated",16,80,39.88,89.4,87.9,40.2,17.946
"Mixedwood","ME_APH","NIPF","untreated",17,85,40.144,90,88.4,40.5,18.065
"Mixedwood","ME_APH","NIPF","untreated",18,90,40.333,90.4,88.8,40.7,18.15
"Mixedwood","ME_APH","NIPF","untreated",19,95,40.469,90.7,89.1,40.8,18.211
"Mixedwood","ME_APH","NIPF","untreated",20,100,40.566,90.9,89.3,40.9,18.255
"Mixedwood","ME_APH","NIPF","untreated",21,105,40.635,91.1,89.5,41,18.286
"Mixedwood","ME_APH","NIPF","untreated",22,110,40.685,91.2,89.6,41,18.308
"Mixedwood","ME_APH","NIPF","untreated",23,115,40.72,91.3,89.6,41.1,18.324
"Mixedwood","ME_APH","NIPF","untreated",24,120,40.746,91.3,89.7,41.1,18.336
"Mixedwood","ME_APH","NIPF","untreated",25,125,40.764,91.4,89.7,41.1,18.344
"Mixedwood","ME_APH","NIPF","untreated",26,130,40.777,91.4,89.7,41.1,18.35
"Mixedwood","ME_APH","NIPF","untreated",27,135,40.786,91.4,89.8,41.1,18.354
"Mixedwood","ME_APH","NIPF","untreated",28,140,40.792,91.4,89.8,41.1,18.356
"Mixedwood","ME_APH","NIPF","untreated",29,145,40.797,91.5,89.8,41.2,18.359
"Mixedwood","ME_APH","NIPF","untreated",30,150,40.801,91.5,89.8,41.2,18.36
"Northern_hardwood","ME_APH","Industrial","harvested",1,5,0.503,1.1,0.1,0.5,0.226
"Northern_hardwood","ME_APH","Industrial","harvested",2,10,2.347,5.3,0.9,2.4,1.056
"Northern_hardwood","ME_APH","Industrial","harvested",3,15,5.185,11.6,3.9,5.2,2.333
"Northern_hardwood","ME_APH","Industrial","harvested",4,20,8.491,19,9,8.6,3.821
"Northern_hardwood","ME_APH","Industrial","harvested",5,25,11.862,26.6,15.7,12,5.338
"Northern_hardwood","ME_APH","Industrial","harvested",6,30,15.045,33.7,23,15.2,6.77
"Northern_hardwood","ME_APH","Industrial","harvested",7,35,17.908,40.1,30.1,18,8.059
"Northern_hardwood","ME_APH","Industrial","harvested",8,40,20.399,45.7,36.6,20.6,9.18
"Northern_hardwood","ME_APH","Industrial","harvested",9,45,22.518,50.5,42.2,22.7,10.133
"Northern_hardwood","ME_APH","Industrial","harvested",10,50,24.29,54.5,46.8,24.5,10.931
"Northern_hardwood","ME_APH","Industrial","harvested",11,55,25.753,57.7,50.6,26,11.589
"Northern_hardwood","ME_APH","Industrial","harvested",12,60,26.95,60.4,53.6,27.2,12.127
"Northern_hardwood","ME_APH","Industrial","harvested",13,65,27.922,62.6,55.9,28.2,12.565
"Northern_hardwood","ME_APH","Industrial","harvested",14,70,28.707,64.4,57.8,29,12.918
"Northern_hardwood","ME_APH","Industrial","harvested",15,75,29.339,65.8,59.2,29.6,13.203
"Northern_hardwood","ME_APH","Industrial","harvested",16,80,29.846,66.9,60.2,30.1,13.431
"Northern_hardwood","ME_APH","Industrial","harvested",17,85,30.251,67.8,61.1,30.5,13.613
"Northern_hardwood","ME_APH","Industrial","harvested",18,90,30.574,68.5,61.7,30.8,13.758
"Northern_hardwood","ME_APH","Industrial","harvested",19,95,30.832,69.1,62.2,31.1,13.874
"Northern_hardwood","ME_APH","Industrial","harvested",20,100,31.037,69.6,62.5,31.3,13.967
"Northern_hardwood","ME_APH","Industrial","harvested",21,105,31.2,69.9,62.8,31.5,14.04
"Northern_hardwood","ME_APH","Industrial","harvested",22,110,31.329,70.2,63,31.6,14.098
"Northern_hardwood","ME_APH","Industrial","harvested",23,115,31.432,70.5,63.2,31.7,14.144
"Northern_hardwood","ME_APH","Industrial","harvested",24,120,31.514,70.6,63.3,31.8,14.181
"Northern_hardwood","ME_APH","Industrial","harvested",25,125,31.579,70.8,63.4,31.9,14.211
"Northern_hardwood","ME_APH","Industrial","harvested",26,130,31.63,70.9,63.5,31.9,14.233
"Northern_hardwood","ME_APH","Industrial","harvested",27,135,31.671,71,63.5,32,14.252
"Northern_hardwood","ME_APH","Industrial","harvested",28,140,31.703,71.1,63.6,32,14.266
"Northern_hardwood","ME_APH","Industrial","harvested",29,145,31.728,71.1,63.6,32,14.278
"Northern_hardwood","ME_APH","Industrial","harvested",30,150,31.749,71.2,63.6,32,14.287
"Northern_hardwood","ME_APH","Industrial","untreated",1,5,7.395,16.6,7.2,7.5,3.328
"Northern_hardwood","ME_APH","Industrial","untreated",2,10,11.566,25.9,14.1,11.7,5.205
"Northern_hardwood","ME_APH","Industrial","untreated",3,15,14.974,33.6,20.8,15.1,6.738
"Northern_hardwood","ME_APH","Industrial","untreated",4,20,17.944,40.2,27.3,18.1,8.075
"Northern_hardwood","ME_APH","Industrial","untreated",5,25,20.61,46.2,33.6,20.8,9.274
"Northern_hardwood","ME_APH","Industrial","untreated",6,30,23.048,51.7,39.8,23.3,10.372
"Northern_hardwood","ME_APH","Industrial","untreated",7,35,25.301,56.7,45.8,25.5,11.385
"Northern_hardwood","ME_APH","Industrial","untreated",8,40,27.402,61.4,51.7,27.6,12.331
"Northern_hardwood","ME_APH","Industrial","untreated",9,45,29.373,65.8,57.4,29.6,13.218
"Northern_hardwood","ME_APH","Industrial","untreated",10,50,31.231,70,62.9,31.5,14.054
"Northern_hardwood","ME_APH","Industrial","untreated",11,55,32.989,74,68.3,33.3,14.845
"Northern_hardwood","ME_APH","Industrial","untreated",12,60,34.658,77.7,73.6,35,15.596
"Northern_hardwood","ME_APH","Industrial","untreated",13,65,36.246,81.3,78.8,36.6,16.311
"Northern_hardwood","ME_APH","Industrial","untreated",14,70,37.761,84.6,83.8,38.1,16.992
"Northern_hardwood","ME_APH","Industrial","untreated",15,75,39.208,87.9,88.7,39.6,17.644
"Northern_hardwood","ME_APH","Industrial","untreated",16,80,40.593,91,93.4,41,18.267
"Northern_hardwood","ME_APH","Industrial","untreated",17,85,41.921,94,98.1,42.3,18.864
"Northern_hardwood","ME_APH","Industrial","untreated",18,90,43.195,96.8,102.6,43.6,19.438
"Northern_hardwood","ME_APH","Industrial","untreated",19,95,44.418,99.6,107,44.8,19.988
"Northern_hardwood","ME_APH","Industrial","untreated",20,100,45.595,102.2,111.4,46,20.518
"Northern_hardwood","ME_APH","Industrial","untreated",21,105,46.728,104.8,115.5,47.2,21.028
"Northern_hardwood","ME_APH","Industrial","untreated",22,110,47.819,107.2,119.6,48.2,21.519
"Northern_hardwood","ME_APH","Industrial","untreated",23,115,48.871,109.6,123.6,49.3,21.992
"Northern_hardwood","ME_APH","Industrial","untreated",24,120,49.886,111.8,127.5,50.3,22.449
"Northern_hardwood","ME_APH","Industrial","untreated",25,125,50.865,114,131.3,51.3,22.889
"Northern_hardwood","ME_APH","Industrial","untreated",26,130,51.811,116.1,135,52.2,23.315
"Northern_hardwood","ME_APH","Industrial","untreated",27,135,52.725,118.2,138.6,53.2,23.726
"Northern_hardwood","ME_APH","Industrial","untreated",28,140,53.608,120.2,142.1,54.1,24.124
"Northern_hardwood","ME_APH","Industrial","untreated",29,145,54.462,122.1,145.6,54.9,24.508
"Northern_hardwood","ME_APH","Industrial","untreated",30,150,55.289,123.9,148.9,55.8,24.88
"Northern_hardwood","ME_APH","NIPF","harvested",1,5,0.487,1.1,0.1,0.5,0.219
"Northern_hardwood","ME_APH","NIPF","harvested",2,10,1.192,2.7,0.4,1.2,0.536
"Northern_hardwood","ME_APH","NIPF","harvested",3,15,2,4.5,0.9,2,0.9
"Northern_hardwood","ME_APH","NIPF","harvested",4,20,2.874,6.4,1.5,2.9,1.293
"Northern_hardwood","ME_APH","NIPF","harvested",5,25,3.793,8.5,2.3,3.8,1.707
"Northern_hardwood","ME_APH","NIPF","harvested",6,30,4.744,10.6,3.2,4.8,2.135
"Northern_hardwood","ME_APH","NIPF","harvested",7,35,5.719,12.8,4.3,5.8,2.574
"Northern_hardwood","ME_APH","NIPF","harvested",8,40,6.71,15,5.5,6.8,3.019
"Northern_hardwood","ME_APH","NIPF","harvested",9,45,7.712,17.3,6.8,7.8,3.47
"Northern_hardwood","ME_APH","NIPF","harvested",10,50,8.72,19.5,8.2,8.8,3.924
"Northern_hardwood","ME_APH","NIPF","harvested",11,55,9.731,21.8,9.7,9.8,4.379
"Northern_hardwood","ME_APH","NIPF","harvested",12,60,10.741,24.1,11.3,10.8,4.833
"Northern_hardwood","ME_APH","NIPF","harvested",13,65,11.75,26.3,13,11.8,5.288
"Northern_hardwood","ME_APH","NIPF","harvested",14,70,12.754,28.6,14.7,12.9,5.739
"Northern_hardwood","ME_APH","NIPF","harvested",15,75,13.752,30.8,16.5,13.9,6.188
"Northern_hardwood","ME_APH","NIPF","harvested",16,80,14.742,33,18.3,14.8,6.634
"Northern_hardwood","ME_APH","NIPF","harvested",17,85,15.724,35.2,20.2,15.8,7.076
"Northern_hardwood","ME_APH","NIPF","harvested",18,90,16.696,37.4,22.2,16.8,7.513
