; YIELDS section: Maine FIA empirical chronosequence yield curves (v4)
; Source: github.com/holoros/fia-cem-maine v4 archive
; Generated 2 May 2026; conversion factors documented in PERSEUS_handoff.md
;
; Columns: AGE   AGB_tonac   Vol_m3ha   Carbon_tonac
;
*Y
Aspenbirch ME_APH Industrial untreated
130   52.510     153.400   23.630    
135   53.341     158.300   24.003    
140   54.132     163.200   24.359    
145   54.885     168.000   24.698    
150   55.601     172.700   25.020    

Aspenbirch ME_NCZ Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     2.219      0.000     0.999     
10    6.192      0.700     2.786     
15    10.695     3.500     4.813     
20    15.215     9.000     6.847     
25    19.498     17.500    8.774     
30    23.426     28.000    10.542    
35    26.949     39.700    12.127    
40    30.064     51.800    13.529    
45    32.788     63.400    14.755    
50    35.151     74.200    15.818    
55    37.188     83.900    16.735    
60    38.937     92.400    17.522    
65    40.432     99.800    18.194    
70    41.706     106.000   18.768    
75    42.789     111.200   19.255    
80    43.708     115.600   19.669    
85    44.487     119.200   20.019    
90    45.146     122.100   20.316    
95    45.703     124.600   20.566    
100   46.173     126.500   20.778    
105   46.570     128.100   20.957    
110   46.904     129.400   21.107    
115   47.186     130.500   21.234    
120   47.424     131.300   21.341    
125   47.624     132.000   21.431    
130   47.792     132.600   21.506    
135   47.934     133.000   21.570    
140   48.053     133.400   21.624    
145   48.154     133.700   21.669    
150   48.238     133.900   21.707    

Aspenbirch ME_NCZ NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     3.617      3.600     1.628     
10    7.785      9.800     3.503     
15    12.019     17.400    5.409     
20    16.197     25.800    7.289     
25    20.264     34.900    9.119     
30    24.191     44.400    10.886    
35    27.964     54.100    12.584    
40    31.575     64.100    14.209    
45    35.022     74.200    15.760    
50    38.304     84.400    17.237    
55    41.424     94.500    18.641    
60    44.387     104.600   19.974    
65    47.196     114.500   21.238    
70    49.858     124.400   22.436    
75    52.378     134.100   23.570    
80    54.761     143.700   24.642    
85    57.015     153.100   25.657    
90    59.144     162.300   26.615    
95    61.155     171.300   27.520    
100   63.053     180.100   28.374    
105   64.845     188.700   29.180    
110   66.535     197.000   29.941    
115   68.129     205.200   30.658    
120   69.632     213.100   31.334    
125   71.049     220.800   31.972    
130   72.385     228.300   32.573    
135   73.643     235.600   33.139    
140   74.828     242.700   33.673    
145   75.945     249.500   34.175    
150   76.997     256.200   34.649    

Aspenbirch ME_NH Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.318      0.200     0.143     
10    3.628      2.400     1.633     
15    10.711     9.500     4.820     
20    19.053     21.400    8.574     
25    26.503     36.200    11.926    
30    32.255     51.600    14.515    
35    36.344     66.000    16.355    
40    39.113     78.600    17.601    
45    40.934     89.000    18.420    
50    42.111     97.500    18.950    
55    42.862     104.100   19.288    
60    43.339     109.200   19.503    
65    43.640     113.100   19.638    
70    43.829     116.100   19.723    
75    43.949     118.300   19.777    
80    44.024     119.900   19.811    
85    44.071     121.200   19.832    
90    44.100     122.100   19.845    
95    44.119     122.800   19.854    
100   44.130     123.300   19.859    
105   44.138     123.700   19.862    
110   44.142     123.900   19.864    
115   44.145     124.100   19.865    
120   44.147     124.300   19.866    
125   44.148     124.400   19.867    
130   44.149     124.500   19.867    
135   44.149     124.600   19.867    
140   44.150     124.600   19.868    
145   44.150     124.600   19.868    
150   44.150     124.700   19.868    

Aspenbirch ME_NH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     2.696      0.300     1.213     
10    8.094      3.200     3.642     
15    14.102     10.200    6.346     
20    19.787     20.800    8.904     
25    24.775     33.800    11.149    
30    28.969     47.800    13.036    
35    32.401     61.500    14.580    
40    35.161     74.300    15.822    
45    37.353     85.800    16.809    
50    39.078     95.800    17.585    
55    40.428     104.300   18.193    
60    41.479     111.400   18.666    
65    42.295     117.300   19.033    
70    42.926     122.100   19.317    
75    43.413     126.100   19.536    
80    43.789     129.200   19.705    
85    44.079     131.800   19.836    
90    44.301     133.800   19.935    
95    44.473     135.500   20.013    
100   44.605     136.800   20.072    
105   44.706     137.900   20.118    
110   44.784     138.700   20.153    
115   44.843     139.300   20.179    
120   44.889     139.900   20.200    
125   44.925     140.300   20.216    
130   44.952     140.600   20.228    
135   44.972     140.900   20.237    
140   44.988     141.100   20.245    
145   45.001     141.300   20.250    
150   45.010     141.400   20.254    

Mixedwood ME_APH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.078      0.200     0.035     
10    1.150      2.600     0.517     
15    4.231      9.700     1.904     
20    9.035      20.500    4.066     
25    14.588     32.900    6.565     
30    20.012     44.900    9.005     
35    24.791     55.400    11.156    
40    28.732     64.000    12.929    
45    31.842     70.800    14.329    
50    34.225     75.900    15.401    
55    36.012     79.700    16.205    
60    37.334     82.500    16.800    
65    38.302     84.600    17.236    
70    39.005     86.100    17.552    
75    39.514     87.100    17.781    
80    39.880     87.900    17.946    
85    40.144     88.400    18.065    
90    40.333     88.800    18.150    
95    40.469     89.100    18.211    
100   40.566     89.300    18.255    
105   40.635     89.500    18.286    
110   40.685     89.600    18.308    
115   40.720     89.600    18.324    
120   40.746     89.700    18.336    
125   40.764     89.700    18.344    
130   40.777     89.700    18.350    
135   40.786     89.800    18.354    
140   40.792     89.800    18.356    
145   40.797     89.800    18.359    
150   40.801     89.800    18.360    

Northern_hardwood ME_APH Industrial harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.503      0.100     0.226     
10    2.347      0.900     1.056     
15    5.185      3.900     2.333     
20    8.491      9.000     3.821     
25    11.862     15.700    5.338     
30    15.045     23.000    6.770     
35    17.908     30.100    8.059     
40    20.399     36.600    9.180     
45    22.518     42.200    10.133    
50    24.290     46.800    10.931    
55    25.753     50.600    11.589    
60    26.950     53.600    12.127    
65    27.922     55.900    12.565    
70    28.707     57.800    12.918    
75    29.339     59.200    13.203    
80    29.846     60.200    13.431    
85    30.251     61.100    13.613    
90    30.574     61.700    13.758    
95    30.832     62.200    13.874    
100   31.037     62.500    13.967    
105   31.200     62.800    14.040    
110   31.329     63.000    14.098    
115   31.432     63.200    14.144    
120   31.514     63.300    14.181    
125   31.579     63.400    14.211    
130   31.630     63.500    14.233    
135   31.671     63.500    14.252    
140   31.703     63.600    14.266    
145   31.728     63.600    14.278    
150   31.749     63.600    14.287    

Northern_hardwood ME_APH Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     7.395      7.200     3.328     
10    11.566     14.100    5.205     
15    14.974     20.800    6.738     
20    17.944     27.300    8.075     
25    20.610     33.600    9.274     
30    23.048     39.800    10.372    
35    25.301     45.800    11.385    
40    27.402     51.700    12.331    
45    29.373     57.400    13.218    
50    31.231     62.900    14.054    
55    32.989     68.300    14.845    
60    34.658     73.600    15.596    
65    36.246     78.800    16.311    
70    37.761     83.800    16.992    
75    39.208     88.700    17.644    
80    40.593     93.400    18.267    
85    41.921     98.100    18.864    
90    43.195     102.600   19.438    
95    44.418     107.000   19.988    
100   45.595     111.400   20.518    
105   46.728     115.500   21.028    
110   47.819     119.600   21.519    
115   48.871     123.600   21.992    
120   49.886     127.500   22.449    
125   50.865     131.300   22.889    
130   51.811     135.000   23.315    
135   52.725     138.600   23.726    
140   53.608     142.100   24.124    
145   54.462     145.600   24.508    
150   55.289     148.900   24.880    

Northern_hardwood ME_APH NIPF harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.487      0.100     0.219     
10    1.192      0.400     0.536     
15    2.000      0.900     0.900     
20    2.874      1.500     1.293     
25    3.793      2.300     1.707     
30    4.744      3.200     2.135     
35    5.719      4.300     2.574     
40    6.710      5.500     3.019     
45    7.712      6.800     3.470     
50    8.720      8.200     3.924     
55    9.731      9.700     4.379     
60    10.741     11.300    4.833     
65    11.750     13.000    5.288     
70    12.754     14.700    5.739     
75    13.752     16.500    6.188     
80    14.742     18.300    6.634     
85    15.724     20.200    7.076     
90    16.696     22.200    7.513     
95    17.657     24.100    7.946     
100   18.606     26.200    8.373     
105   19.544     28.200    8.795     
110   20.469     30.300    9.211     
115   21.381     32.300    9.621     
120   22.279     34.400    10.026    
125   23.164     36.600    10.424    
130   24.034     38.700    10.815    
135   24.891     40.800    11.201    
140   25.733     42.900    11.580    
145   26.561     45.100    11.952    
150   27.375     47.200    12.319    

Northern_hardwood ME_APH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.757      0.500     0.341     
10    3.358      3.100     1.511     
15    7.406      8.700     3.333     
20    12.313     16.800    5.541     
25    17.587     26.800    7.914     
30    22.870     38.100    10.292    
35    27.928     50.000    12.568    
40    32.621     61.900    14.679    
45    36.878     73.400    16.595    
50    40.675     84.300    18.304    
55    44.018     94.500    19.808    
60    46.932     103.800   21.119    
65    49.453     112.300   22.254    
70    51.619     119.800   23.229    
75    53.472     126.500   24.062    
80    55.050     132.400   24.773    
85    56.389     137.600   25.375    
90    57.524     142.200   25.886    
95    58.482     146.200   26.317    
100   59.289     149.600   26.680    
105   59.969     152.600   26.986    
110   60.541     155.200   27.243    
115   61.021     157.400   27.459    
120   61.424     159.300   27.641    
125   61.762     161.000   27.793    
130   62.046     162.400   27.921    
135   62.283     163.600   28.027    
140   62.482     164.600   28.117    
145   62.648     165.500   28.192    
150   62.787     166.300   28.254    

Northern_hardwood ME_APH PublicOther untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     4.318      1.200     1.943     
10    8.391      4.700     3.776     
15    12.216     9.800     5.497     
20    15.804     16.300    7.112     
25    19.170     23.600    8.627     
30    22.326     31.500    10.047    
35    25.285     39.700    11.378    
40    28.058     48.000    12.626    
45    30.658     56.200    13.796    
50    33.094     64.300    14.892    
55    35.377     72.100    15.920    
60    37.517     79.600    16.883    
65    39.522     86.700    17.785    
70    41.400     93.500    18.630    
75    43.161     99.800    19.422    
80    44.811     105.800   20.165    
85    46.356     111.300   20.860    
90    47.805     116.500   21.512    
95    49.162     121.300   22.123    
100   50.433     125.800   22.695    
105   51.624     129.900   23.231    
110   52.740     133.600   23.733    
115   53.786     137.100   24.204    
120   54.766     140.300   24.645    
125   55.684     143.300   25.058    
130   56.544     146.000   25.445    
135   57.350     148.500   25.808    
140   58.105     150.700   26.147    
145   58.812     152.800   26.465    
150   59.475     154.700   26.764    

Northern_hardwood ME_NCZ Industrial harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.011      0.000     0.005     
10    0.089      0.000     0.040     
15    0.283      0.200     0.127     
20    0.629      0.700     0.283     
25    1.144      1.500     0.515     
30    1.834      2.800     0.825     
35    2.699      4.700     1.215     
40    3.728      7.200     1.678     
45    4.909      10.400    2.209     
50    6.226      14.100    2.802     
55    7.661      18.300    3.447     
60    9.198      23.100    4.139     
65    10.817     28.200    4.868     
70    12.502     33.700    5.626     
75    14.236     39.500    6.406     
80    16.005     45.500    7.202     
85    17.794     51.600    8.007     
90    19.590     57.800    8.816     
95    21.383     64.000    9.622     
100   23.163     70.100    10.423    
105   24.922     76.200    11.215    
110   26.651     82.100    11.993    
115   28.346     87.900    12.756    
120   30.000     93.500    13.500    
125   31.610     98.900    14.225    
130   33.172     104.100   14.927    
135   34.684     109.100   15.608    
140   36.144     113.800   16.265    
145   37.551     118.400   16.898    
150   38.903     122.700   17.506    

Northern_hardwood ME_NCZ Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     2.252      3.100     1.013     
10    5.818      9.200     2.618     
15    9.820      16.600    4.419     
20    13.935     24.900    6.271     
25    17.992     33.600    8.096     
30    21.897     42.400    9.854     
35    25.595     51.200    11.518    
40    29.059     59.800    13.077    
45    32.276     68.100    14.524    
50    35.245     76.100    15.860    
55    37.972     83.700    17.087    
60    40.466     90.900    18.210    
65    42.741     97.600    19.233    
70    44.809     104.000   20.164    
75    46.686     110.000   21.009    
80    48.386     115.600   21.774    
85    49.923     120.800   22.465    
90    51.310     125.700   23.090    
95    52.562     130.200   23.653    
100   53.690     134.400   24.160    
105   54.705     138.200   24.617    
110   55.618     141.800   25.028    
115   56.439     145.100   25.398    
120   57.176     148.200   25.729    
125   57.839     151.000   26.028    
130   58.433     153.600   26.295    
135   58.966     156.000   26.535    
140   59.445     158.200   26.750    
145   59.874     160.200   26.943    
150   60.258     162.100   27.116    

Northern_hardwood ME_NCZ NIPF harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.221      0.000     0.099     
10    1.253      0.300     0.564     
15    3.205      1.700     1.442     
20    5.934      4.900     2.670     
25    9.224      10.200    4.151     
30    12.858     17.400    5.786     
35    16.649     26.200    7.492     
40    20.450     36.000    9.203     
45    24.151     46.200    10.868    
50    27.676     56.500    12.454    
55    30.976     66.400    13.939    
60    34.025     75.700    15.311    
65    36.811     84.200    16.565    
70    39.335     92.000    17.701    
75    41.605     98.900    18.722    
80    43.633     104.900   19.635    
85    45.438     110.300   20.447    
90    47.036     114.900   21.166    
95    48.447     118.800   21.801    
100   49.689     122.200   22.360    
105   50.779     125.100   22.851    
110   51.733     127.600   23.280    
115   52.568     129.700   23.656    
120   53.297     131.500   23.984    
125   53.933     132.900   24.270    
130   54.486     134.200   24.519    
135   54.967     135.300   24.735    
140   55.386     136.200   24.924    
145   55.749     136.900   25.087    
150   56.065     137.500   25.229    

Northern_hardwood ME_NCZ NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     3.946      3.100     1.776     
10    8.356      9.100     3.760     
15    12.715     16.800    5.722     
20    16.903     25.300    7.606     
25    20.875     34.300    9.394     
30    24.613     43.500    11.076    
35    28.113     52.600    12.651    
40    31.378     61.600    14.120    
45    34.417     70.300    15.488    
50    37.239     78.600    16.758    
55    39.856     86.500    17.935    
60    42.279     94.100    19.026    
65    44.520     101.200   20.034    
70    46.590     107.800   20.966    
75    48.503     114.100   21.826    
80    50.268     119.900   22.621    
85    51.895     125.300   23.353    
90    53.396     130.400   24.028    
95    54.779     135.000   24.651    
100   56.053     139.400   25.224    
105   57.226     143.400   25.752    
110   58.306     147.100   26.238    
115   59.300     150.500   26.685    
120   60.214     153.700   27.096    
125   61.056     156.600   27.475    
130   61.830     159.300   27.823    
135   62.542     161.700   28.144    
140   63.196     164.000   28.438    
145   63.798     166.100   28.709    
150   64.352     168.000   28.958    

Northern_hardwood ME_NCZ PublicOther untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     3.607      10.200    1.623     
10    7.704      20.000    3.467     
15    11.847     29.500    5.331     
20    15.928     38.800    7.168     
25    19.900     47.800    8.955     
30    23.736     56.600    10.681    
35    27.424     65.200    12.341    
40    30.958     73.500    13.931    
45    34.334     81.700    15.450    
50    37.555     89.600    16.900    
55    40.622     97.300    18.280    
60    43.538     104.900   19.592    
65    46.310     112.200   20.840    
70    48.940     119.400   22.023    
75    51.435     126.400   23.146    
80    53.800     133.200   24.210    
85    56.041     139.800   25.218    
90    58.163     146.300   26.173    
95    60.171     152.600   27.077    
100   62.071     158.800   27.932    
105   63.869     164.800   28.741    
110   65.568     170.600   29.506    
115   67.175     176.300   30.229    
120   68.693     181.900   30.912    
125   70.128     187.300   31.558    
130   71.483     192.600   32.167    
135   72.763     197.700   32.743    
140   73.972     202.800   33.287    
145   75.113     207.700   33.801    
150   76.191     212.500   34.286    

Northern_hardwood ME_NCZ State untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     9.353      0.700     4.209     
10    15.298     3.900     6.884     
15    20.212     9.900     9.095     
20    24.472     18.100    11.012    
25    28.249     28.000    12.712    
30    31.643     38.800    14.239    
35    34.719     50.000    15.624    
40    37.524     61.200    16.886    
45    40.093     71.900    18.042    
50    42.455     82.100    19.105    
55    44.633     91.600    20.085    
60    46.645     100.300   20.990    
65    48.507     108.300   21.828    
70    50.234     115.400   22.605    
75    51.837     121.800   23.327    
80    53.326     127.400   23.997    
85    54.713     132.500   24.621    
90    56.003     136.900   25.201    
95    57.206     140.800   25.743    
100   58.328     144.200   26.248    
105   59.374     147.100   26.718    
110   60.351     149.700   27.158    
115   61.264     152.000   27.569    
120   62.116     154.000   27.952    
125   62.913     155.700   28.311    
130   63.659     157.100   28.647    
135   64.356     158.400   28.960    
140   65.008     159.500   29.254    
145   65.619     160.500   29.529    
150   66.190     161.300   29.785    

Northern_hardwood ME_NH Industrial harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.099      1.700     0.045     
10    0.797      5.700     0.359     
15    2.402      11.400    1.081     
20    4.876      18.200    2.194     
25    8.000      25.800    3.600     
30    11.512     33.700    5.180     
35    15.172     41.900    6.827     
40    18.793     50.000    8.457     
45    22.242     58.100    10.009    
50    25.437     65.900    11.447    
55    28.334     73.500    12.750    
60    30.917     80.800    13.913    
65    33.191     87.700    14.936    
70    35.172     94.200    15.827    
75    36.884     100.400   16.598    
80    38.353     106.200   17.259    
85    39.607     111.600   17.823    
90    40.673     116.700   18.303    
95    41.576     121.400   18.709    
100   42.337     125.800   19.052    
105   42.979     129.800   19.341    
110   43.518     133.600   19.583    
115   43.971     137.100   19.787    
120   44.350     140.300   19.958    
125   44.667     143.300   20.100    
130   44.932     146.000   20.219    
135   45.154     148.500   20.319    
140   45.339     150.800   20.403    
145   45.494     153.000   20.472    
150   45.623     154.900   20.530    

Northern_hardwood ME_NH Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     1.086      13.100    0.489     
10    5.626      23.300    2.532     
15    12.363     32.200    5.563     
20    19.461     40.400    8.757     
25    25.834     48.000    11.625    
30    31.075     55.000    13.984    
35    35.163     61.500    15.823    
40    38.245     67.700    17.210    
45    40.519     73.500    18.234    
50    42.171     79.000    18.977    
55    43.360     84.100    19.512    
60    44.209     89.000    19.894    
65    44.813     93.600    20.166    
70    45.241     98.000    20.358    
75    45.544     102.100   20.495    
80    45.757     106.100   20.591    
85    45.908     109.800   20.659    
90    46.014     113.300   20.706    
95    46.089     116.700   20.740    
100   46.141     119.900   20.763    
105   46.178     123.000   20.780    
110   46.204     125.900   20.792    
115   46.223     128.600   20.800    
120   46.235     131.200   20.806    
125   46.245     133.700   20.810    
130   46.251     136.100   20.813    
135   46.255     138.400   20.815    
140   46.259     140.500   20.817    
145   46.261     142.600   20.817    
150   46.262     144.600   20.818    

Northern_hardwood ME_NH NIPF harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.436      12.900    0.196     
10    4.281      21.100    1.926     
15    11.220     28.000    5.049     
20    18.198     34.200    8.189     
25    23.606     39.800    10.623    
30    27.284     45.000    12.278    
35    29.615     49.800    13.327    
40    31.037     54.400    13.967    
45    31.886     58.700    14.349    
50    32.386     62.800    14.574    
55    32.679     66.700    14.706    
60    32.849     70.400    14.782    
65    32.948     74.000    14.827    
70    33.006     77.400    14.853    
75    33.039     80.700    14.868    
80    33.058     83.800    14.876    
85    33.070     86.800    14.882    
90    33.076     89.700    14.884    
95    33.080     92.500    14.886    
100   33.082     95.200    14.887    
105   33.083     97.800    14.887    
110   33.084     100.300   14.888    
115   33.084     102.700   14.888    
120   33.085     105.100   14.888    
125   33.085     107.400   14.888    
130   33.085     109.600   14.888    
135   33.085     111.700   14.888    
140   33.085     113.700   14.888    
145   33.085     115.700   14.888    
150   33.085     117.700   14.888    

Northern_hardwood ME_NH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     7.431      8.600     3.344     
10    12.334     16.900    5.550     
15    16.392     24.700    7.376     
20    19.895     32.200    8.953     
25    22.979     39.300    10.341    
30    25.726     46.100    11.577    
35    28.191     52.600    12.686    
40    30.415     58.800    13.687    
45    32.430     64.600    14.594    
50    34.261     70.200    15.417    
55    35.928     75.500    16.168    
60    37.450     80.600    16.853    
65    38.840     85.400    17.478    
70    40.113     90.000    18.051    
75    41.280     94.400    18.576    
80    42.349     98.500    19.057    
85    43.332     102.500   19.499    
90    44.234     106.200   19.905    
95    45.063     109.800   20.278    
100   45.826     113.200   20.622    
105   46.528     116.500   20.938    
110   47.174     119.600   21.228    
115   47.769     122.500   21.496    
120   48.317     125.300   21.743    
125   48.823     128.000   21.970    
130   49.288     130.500   22.180    
135   49.718     132.900   22.373    
140   50.114     135.200   22.551    
145   50.479     137.400   22.716    
150   50.816     139.500   22.867    

Northern_hardwood ME_NH State untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     6.315      3.700     2.842     
10    10.843     9.100     4.879     
15    14.815     15.400    6.667     
20    18.435     22.200    8.296     
25    21.795     29.400    9.808     
30    24.947     36.900    11.226    
35    27.924     44.500    12.566    
40    30.750     52.400    13.838    
45    33.443     60.300    15.049    
50    36.016     68.300    16.207    
55    38.481     76.300    17.316    
60    40.846     84.400    18.381    
65    43.118     92.400    19.403    
70    45.305     100.400   20.387    
75    47.412     108.400   21.335    
80    49.443     116.300   22.249    
85    51.404     124.200   23.132    
90    53.298     132.000   23.984    
95    55.128     139.700   24.808    
100   56.899     147.300   25.605    
105   58.611     154.800   26.375    
110   60.269     162.200   27.121    
115   61.875     169.600   27.844    
120   63.431     176.800   28.544    
125   64.939     183.900   29.223    
130   66.401     190.900   29.880    
135   67.819     197.800   30.519    
140   69.194     204.600   31.137    
145   70.529     211.300   31.738    
150   71.825     217.800   32.321    

Oak_Pine_Hemlock ME_APH NIPF harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.908      0.100     0.409     
10    4.472      1.700     2.012     
15    9.998      7.300     4.499     
20    16.329     17.500    7.348     
25    22.607     31.100    10.173    
30    28.343     46.500    12.754    
35    33.320     62.000    14.994    
40    37.493     76.400    16.872    
45    40.910     89.200    18.409    
50    43.660     100.100   19.647    
55    45.848     109.100   20.632    
60    47.571     116.500   21.407    
65    48.921     122.300   22.014    
70    49.972     127.000   22.487    
75    50.787     130.700   22.854    
80    51.418     133.500   23.138    
85    51.905     135.800   23.357    
90    52.281     137.500   23.526    
95    52.570     138.800   23.657    
100   52.792     139.900   23.756    
105   52.963     140.600   23.833    
110   53.094     141.200   23.892    
115   53.195     141.700   23.938    
120   53.272     142.100   23.972    
125   53.332     142.300   23.999    
130   53.377     142.600   24.020    
135   53.412     142.700   24.035    
140   53.439     142.800   24.048    
145   53.459     142.900   24.057    
150   53.475     143.000   24.064    

Oak_Pine_Hemlock ME_APH NIPF untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     1.699      0.200     0.765     
10    5.575      2.200     2.509     
15    10.657     7.400     4.796     
20    16.356     16.200    7.360     
25    22.284     28.000    10.028    
30    28.185     42.100    12.683    
35    33.891     57.500    15.251    
40    39.300     73.400    17.685    
45    44.352     89.200    19.958    
50    49.017     104.300   22.058    
55    53.288     118.400   23.980    
60    57.171     131.400   25.727    
65    60.681     143.100   27.306    
70    63.840     153.600   28.728    
75    66.672     162.900   30.002    
80    69.204     171.100   31.142    
85    71.459     178.200   32.157    
90    73.466     184.400   33.060    
95    75.246     189.700   33.861    
100   76.824     194.300   34.571    
105   78.221     198.200   35.199    
110   79.455     201.600   35.755    
115   80.545     204.500   36.245    
120   81.507     207.000   36.678    
125   82.354     209.000   37.059    
130   83.101     210.800   37.395    
135   83.758     212.300   37.691    
140   84.336     213.600   37.951    
145   84.845     214.700   38.180    
150   85.292     215.600   38.381    

Sprucefir ME_APH Industrial harvested
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.117      0.100     0.053     
10    1.566      2.100     0.705     
15    5.290      8.100     2.381     
20    10.506     18.000    4.728     
25    15.964     30.100    7.184     
30    20.829     42.600    9.373     
35    24.769     54.000    11.146    
40    27.777     63.900    12.500    
45    29.986     72.000    13.494    
50    31.568     78.400    14.206    
55    32.683     83.400    14.707    
60    33.459     87.200    15.057    
65    33.996     90.100    15.298    
70    34.366     92.300    15.465    
75    34.619     93.900    15.579    
80    34.792     95.100    15.656    
85    34.911     96.000    15.710    
90    34.991     96.600    15.746    
95    35.046     97.100    15.771    
100   35.084     97.500    15.788    
105   35.110     97.700    15.800    
110   35.127     97.900    15.807    
115   35.139     98.100    15.813    
120   35.147     98.200    15.816    
125   35.152     98.200    15.818    
130   35.156     98.300    15.820    
135   35.159     98.300    15.822    
140   35.160     98.400    15.822    
145   35.161     98.400    15.822    
150   35.162     98.400    15.823    

Sprucefir ME_APH Industrial untreated
_AGE  AGB_tonac  Vol_m3ha  Carbon_tonac
0     0.000      0.000     0.000
5     0.393      0.200     0.177     
10    4.076      2.500     1.834     
15    11.141     9.600     5.013     
20    18.658     21.100    8.396     
25    24.786     34.900    11.154    
30    29.144     48.900    13.115    
35    32.021     61.700    14.409    
40    33.842     72.500    15.229    
45    34.967     81.300    15.735    
50    35.652     88.300    16.043    
55    36.065     93.600    16.229    
60    36.314     97.700    16.341    
65    36.462     100.700   16.408    
