cycle,sim,scenario,n_conditions,mean_ba,mean_vol,mean_carbon,total_tpa,n_harvested,harvest_rate,n_planted,plant_rate,gross_growth,mortality,harvest_removals,net_change,gr_ratio,climate_rcp
4,14,Harvest_m25_mill,23517,75.32573915068842,2011.0031039112157,48500.749242488666,570.9241727169899,1622,0.06897138240421823,1251,0.053195560658247223,422.46605451067757,510.5111817624697,59.17488767898981,-147.22001493078193,7.139279364626072,4.5
5,14,Harvest_m25_mill,23457,72.78570530945862,2114.6699378729186,49534.810351476124,614.4691985917656,1593,0.06791149763396853,1201,0.051200068209916016,390.5397877582648,616.3768757523994,60.81425343023874,-286.65134142437336,6.421846289805414,4.5
6,14,Harvest_m25_mill,23434,69.12739923764737,2138.9222602328346,48944.58784336026,676.9566736579311,1519,0.06482034650507809,1183,0.0504822053426645,366.89899085945376,687.4646644622159,59.261562265461606,-379.82723586822374,6.19117986150843,4.5
7,14,Harvest_m25_mill,23414,65.41369464037614,2143.386013975509,47815.409256141254,755.664451308448,1457,0.062227727000939606,1097,0.04685231058341163,351.89099883921523,726.0711094450388,52.884775000907595,-427.0648856067312,6.653918804290576,4.5
8,14,Harvest_m25_mill,23404,61.60702294082165,2124.1824375459946,46191.540207501595,891.321975296246,1333,0.05695607588446419,1016,0.04341138266962912,342.64342466001017,756.7216108908455,50.053729618159906,-464.13191584899516,6.845512357898228,4.5
9,14,Harvest_m25_mill,23395,58.24771088261688,2087.571650121611,44512.32198277004,1071.1537434371714,1340,0.057277195982047446,965,0.04124812994229536,331.99700404851603,775.7181128729644,52.107398291699994,-495.8285071161484,6.371398590848446,4.5
10,14,Harvest_m25_mill,23389,55.18257755173251,2017.523498473033,42620.481638682475,1366.3783915499182,1353,0.05784770618666895,1004,0.042926161870964985,319.34720292873726,783.3050635837634,48.50004398918792,-512.4579046442141,6.584472438827666,4.5
11,14,Harvest_m25_mill,23384,52.30832928047284,1959.9443306714486,40914.4813630992,1823.6690127086465,1254,0.05362641122134793,879,0.03758980499486829,311.939664098521,764.8811037396024,45.58190503447533,-498.5233446755567,6.843497740223652,4.5
12,14,Harvest_m25_mill,23379,49.593733017224665,1895.469939394702,39062.314349363034,2589.262146114136,1207,0.05162752897899825,869,0.037170109927712906,305.1259206209994,763.7158923173803,41.68188035811751,-500.27185205449837,7.320349226077474,4.5
13,14,Harvest_m25_mill,23373,47.14039297764594,1820.5235997537186,37236.91244150464,3773.3485918838824,1222,0.05228254823942156,870,0.037222436144269025,299.0115175022094,750.5154590802041,41.76975549396001,-493.2736970719547,7.158565185890232,4.5
14,14,Harvest_m25_mill,23370,45.21019775992143,1768.7625603942763,35849.537609139035,5617.519316295437,1128,0.04826700898587933,811,0.03470261018399658,300.60719565826463,721.2655116627133,37.474147249518225,-458.1324632539669,8.021722113026316,4.5
15,14,Harvest_m25_mill,23368,43.61560863706276,1723.8283041463585,34620.60977078291,9234.325201071946,1169,0.0500256761383088,845,0.03616056145155769,291.4212978135635,704.2632338003499,38.51764552008334,-451.35958150686974,7.565916708528164,4.5
1,15,Harvest_m25_mill,26678,68.3622050884453,1336.2834521699576,35658.54203490188,502.7504559162583,2005,0.07515555888747283,1638,0.0613989054651773,424.98027672645406,93.19344861766326,56.21107219118509,275.5757559176057,7.560437119594717,4.5
2,15,Harvest_m25_mill,24039,73.64058763227044,1577.0915539973512,41081.27767261284,528.845982408278,1711,0.07117600565747327,1340,0.05574275136236948,511.86219286126953,259.3235013444528,59.08434806431699,193.45434345249976,8.66324516780782,4.5
3,15,Harvest_m25_mill,23626,75.661121567205,1795.1809528694248,45209.59669528705,554.6579291478638,1601,0.06776432743587572,1235,0.052272919664776096,471.63847751002135,368.61591168123323,58.53061900998362,44.4919468188045,8.057978635585139,4.5
4,15,Harvest_m25_mill,23472,74.97500931427001,1957.2558296740115,47731.865798570485,588.2935020273668,1668,0.07106339468302658,1306,0.05564076346284935,434.8117035559939,485.15109039230794,64.08413555643877,-114.42352239275279,6.785013167152051,4.5
5,15,Harvest_m25_mill,23409,72.91518742849401,2070.4802506972446,48990.58771159612,635.0804111499637,1557,0.06651287966166859,1203,0.05139049083685762,412.31617195554804,582.7798172171298,59.50048906110643,-229.96413432268818,6.929626604112503,4.5
6,15,Harvest_m25_mill,23370,70.27952112346263,2131.795259326319,49350.24107780578,707.2944763054802,1498,0.06409927257167308,1124,0.048095849379546425,378.6329041611553,659.7548026862856,56.33987288769113,-337.46177141282146,6.720513993986614,4.5
7,15,Harvest_m25_mill,23341,67.1788197199099,2155.5913000844407,48878.75293364162,825.6904517379894,1527,0.0654213615526327,1143,0.048969624266312496,363.9939255448508,716.4471898619028,56.51434134684117,-408.9676056638931,6.440735517219223,4.5
8,15,Harvest_m25_mill,23329,63.665331989881025,2138.881304312083,47620.94668561476,1008.3868364073319,1419,0.060825581893780276,1012,0.0433794847614557,348.33576036994697,761.0130720959849,54.85663409721315,-467.53394582325103,6.349929522701854,4.5
9,15,Harvest_m25_mill,23319,60.647818062306136,2132.579442803835,46608.32576145577,1282.467584995672,1337,0.0573352202066984,975,0.04181139843046443,337.48382743552514,773.9579770121859,48.416456731241986,-484.8906063079027,6.97043629832075,4.5
10,15,Harvest_m25_mill,23307,57.6718630035959,2098.4013710647096,45283.03782696495,1699.2049897943484,1259,0.05401810614836745,923,0.03960183635817566,322.2441237915669,801.5163506295361,49.23097903808023,-528.5032058760494,6.545555869248723,4.5
11,15,Harvest_m25_mill,23301,55.20991094321302,2097.078795762144,44738.07801518986,2342.0551198883895,1241,0.053259516758937385,870,0.03733745332818334,308.0982119973964,808.5176804486866,44.84112854890339,-545.2605970001937,6.870884430604525,4.5
12,15,Harvest_m25_mill,23298,52.69911143219513,2067.933349266185,43827.53516221265,3186.4185899060003,1243,0.05335221907459868,895,0.038415314619280626,299.6783830742208,836.405231270085,43.7031075799093,-580.4299557757736,6.857141280543298,4.5
13,15,Harvest_m25_mill,23294,50.69404983072747,2028.7125207802724,42913.48799524574,4608.584293251541,1147,0.04924014767751352,823,0.03533098652013394,289.1446838504101,846.7340881078954,40.51450962706466,-598.1039138845499,7.136818056345288,4.5
14,15,Harvest_m25_mill,23292,48.635978107109935,2006.6824634483303,42211.87342632147,6284.776697822708,1171,0.05027477245406148,855,0.03670788253477589,279.6600908164947,840.9469065038093,38.55627952681801,-599.8430952141326,7.253295552595414,4.5
15,15,Harvest_m25_mill,23288,46.77841549721485,1977.6673672769898,41327.33522491783,9256.739512465798,1167,0.05011164548265201,819,0.03516832703538303,275.26892699658583,853.6483835841244,38.953243097891296,-617.3326996854299,7.06664978586821,4.5
1,16,Harvest_m25_mill,26551,68.32716056111165,1337.8480614389978,35563.58559407013,503.76776054162974,1999,0.07528906632518549,1602,0.060336710481714434,424.9940470210873,99.05835479974074,56.35554116007944,269.5801510612671,7.541300079328139,4.5
2,16,Harvest_m25_mill,23920,73.60089061331931,1577.6572201198946,40917.76200673236,531.2484690003015,1780,0.07441471571906355,1416,0.059197324414715716,511.93318591801886,267.6540852589384,60.37688869802185,183.90221196105864,8.478959366032909,4.5
3,16,Harvest_m25_mill,23450,75.79994727970563,1804.6901405082647,45216.995062224894,555.3625182433216,1644,0.07010660980810235,1286,0.05484008528784648,470.4832411807231,373.2778952358108,62.283246062179714,34.92209988273261,7.553929361854743,4.5
4,16,Harvest_m25_mill,23289,75.0003360520387,1977.5241783053982,47834.782219787485,575.8309078664665,1585,0.06805788140323758,1248,0.05358753059384259,433.5598740370699,491.45688541759773,59.408344360837326,-117.30535574136516,7.297962579190772,4.5
5,16,Harvest_m25_mill,23222,72.30590348341372,2076.5529197339742,48639.81470971632,612.4342982569241,1523,0.0655843596589441,1187,0.05111532167771941,396.3705633782378,594.9069016877178,58.400650017188,-256.936988326668,6.787091637876998,4.5
6,16,Harvest_m25_mill,23188,69.04106225641272,2134.7779133634626,48575.43789538862,674.2876513933286,1525,0.06576677591857857,1186,0.051147145075038813,371.6530387802455,660.4149079726906,59.25815177335045,-348.02002096579554,6.2717622412818,4.5
7,16,Harvest_m25_mill,23160,65.89360582668789,2151.746711093506,47823.963150632226,771.2922621390742,1436,0.062003454231433504,1076,0.0464594127806563,350.5068806222028,706.6686191538415,54.70705918471601,-410.8687977163547,6.40697719536946,4.5
8,16,Harvest_m25_mill,23147,62.45438550819542,2150.699242241733,46708.97651278182,888.8250399689887,1391,0.0600941806713613,1050,0.04536224996759839,337.95307087901404,747.6958027004044,52.363978550598866,-462.10671037198927,6.453922720032682,4.5
9,16,Harvest_m25_mill,23143,59.19818879503845,2132.495405040452,45258.207622922564,1054.1444943962217,1358,0.05867865013178931,1046,0.045197251868815624,331.14809945971837,777.4555345522821,51.34216254199697,-497.6495976345607,6.449827647770878,4.5
10,16,Harvest_m25_mill,23134,56.20804681717635,2093.905253953086,43795.95509384675,1242.3582538796074,1346,0.05818276130370883,1005,0.04344255208783609,309.90104102318037,800.7530893845876,49.871255473703094,-540.7233038351103,6.214021244895066,4.5
11,16,Harvest_m25_mill,23124,53.7735079258286,2066.0925648803404,42463.620048036646,1610.0640227104673,1243,0.053753675834630685,921,0.0398287493513233,299.8851416053883,816.2619705524261,40.73441000796533,-557.1112389550032,7.36196109251976,4.5
12,16,Harvest_m25_mill,23117,51.40368204937924,2040.1423469983051,41181.96615641456,2224.363865292568,1338,0.05787948263182939,981,0.042436302288359214,289.8796418426022,822.4943902072381,46.999560407455995,-579.6143087720919,6.167709640888807,4.5
13,16,Harvest_m25_mill,23114,49.384404479160345,2011.5515383513853,40047.301749892955,3248.7872737390276,1211,0.052392489400363416,886,0.038331746993164315,291.53420534083847,841.3165225979901,40.1952066470953,-589.9775239042469,7.2529594859516955,4.5
14,16,Harvest_m25_mill,23112,47.490405098255295,1965.8173077095878,38770.030012187635,4464.711397609929,1196,0.051748009691934924,871,0.03768605053651783,280.0102254037859,842.0616856430589,41.968330799421075,-604.019791038694,6.671940962866421,4.5
15,16,Harvest_m25_mill,23109,45.79319309469979,1910.374692675455,37506.02558054423,7115.01956246133,1181,0.05110562984118742,845,0.03656584014885975,277.6464354301625,838.096903038516,39.904157297549915,-600.3546249059033,6.957832322077625,4.5
1,17,Harvest_m25_mill,26819,68.19573492838491,1335.4977008899614,35652.06379187917,497.54385655389854,2041,0.07610276296655356,1659,0.06185912972146612,422.7384073647316,100.69923998325137,55.75142006051829,266.2877473209619,7.5825585591514635,4.5
2,17,Harvest_m25_mill,24275,73.50845916126487,1577.5833572345302,41076.81484910804,528.4028476348609,1767,0.07279093717816684,1376,0.056683831101956746,496.1466419745491,268.60609773533685,58.38107548503608,169.15946875417615,8.498415588484983,4.5
3,17,Harvest_m25_mill,23846,75.6312117118651,1794.3712129523437,45373.00299241682,552.0600628160267,1660,0.06961335234420868,1286,0.05392938018954961,470.83459741131657,378.854096865368,60.127894971414804,31.852605574533783,7.830551820168566,4.5
4,17,Harvest_m25_mill,23688,75.17590733114874,1976.2151940707242,48257.393084124735,577.4471444568496,1595,0.06733367105707531,1244,0.05251604187774401,422.4412033968936,505.3284667054223,56.820113051116536,-139.7073763596452,7.434712476141272,4.5
5,17,Harvest_m25_mill,23616,72.88732205296307,2082.8656188201217,49523.329798955216,609.6393041120938,1602,0.06783536585365854,1228,0.05199864498644986,396.4435602542313,615.5533831559295,58.21383355606718,-277.3236564577654,6.810126322850851,4.5
6,17,Harvest_m25_mill,23572,69.78191213804143,2123.2444979047273,49587.63204207975,663.1944886453286,1615,0.06851349058204649,1250,0.05302901747836416,361.7204492936213,688.7314540505664,60.46511888123551,-387.47612363818064,5.982299480864431,4.5
7,17,Harvest_m25_mill,23547,66.48747043700241,2140.2603878330874,48911.0538776031,754.6901636724479,1431,0.060772072875525544,1081,0.04590818363273453,348.74630487308445,734.3238574758415,53.44502546847618,-439.02257807123317,6.525327695442632,4.5
8,17,Harvest_m25_mill,23531,63.19311364975076,2131.773753348789,47645.68715697862,881.410513680028,1430,0.0607708979643874,1058,0.04496196506735795,335.0363308190851,770.2318105773945,52.5719559641999,-487.76743572250933,6.372909751488719,4.5
9,17,Harvest_m25_mill,23522,59.98982244371327,2116.6613500873373,46361.54664177521,1065.19891908422,1378,0.058583453787943204,965,0.041025423008247595,317.8975784379905,787.0722153834204,51.07372640157007,-520.2483633469999,6.224287923275908,4.5
10,17,Harvest_m25_mill,23511,57.187891276480656,2102.197434995697,45079.35853657773,1346.022365309283,1281,0.05448513461783846,913,0.038832886733869254,302.10694041675544,814.0784283091302,45.24967084637474,-557.2211587387495,6.676445038515883,4.5
11,17,Harvest_m25_mill,23502,54.394790159397616,2072.4964065718095,43651.601316044034,1777.5717917088466,1345,0.057229171985362946,950,0.04042209173687346,288.92527508157906,838.1128153615296,45.194158211637,-594.3816984915876,6.392978351949566,4.5
